,축제명,축제주요내용
10,허준축제,"['강서', '강서구', '구', '대표', '대표축제', '축제', '허', '20', '20회', '회', '11', '11일', '일', '13', '13일', '근린', '근린공원', '공원', '일대', '저', '개최', '이번', '동의', '동의보감', '보감', '바탕', '오페라', '인기', '인기가수', '가수', '공연', '서울', '3', '회', '사진', '공모전', '7', '7일', '의성', '이', '자라', '주요', '저서', '집필', '한의', '한의학적', '학적', '성지', '성지인', '인', '준비', '과', '23', '23회', '구민', '구민상', '상', '을', '시상', '뒤', '기념', '기념촬영', '촬영', '강', '강서', '강서구', '서구', '구', '제공', '0', '0강서구', '구청장', '노현', '노현송', '송', '강서구민상', '15', '15일', '올해']"
11,유러피언크리스마스마켓,"['서울', '유', '유러피언', '러', '피', '언', '크리스마스', '크리스마스마켓', '마켓', '포스터', '주말', '저', '10', '10회', '회', '이', '개최', '성북', '성북구', '구', '한성', '한성대입구역', '대입', '구역', '2', '2번', '번', '출구', '앞', '성북', '성북천분수마', '천분', '수마', '이번', '행사', '유래', '유래지인', '지인', '2017', '모습', '사진', '성북구청', '구청', '제공', '이승', '성북구청장', '구청장', '40', '40여개의', '여', '개의', '대사', '대사관저', '관저', '1', '1만', '만', '여명의', '명의', '외국인', '거주', '글로벌', '글로벌도시', '도시', '은', '세계인', '전통', '음식', '특별', '공연', '이', '겨울', '만끽', '수', '전국', '축제', '소식', '지금', '나', '주민', '한국', '문화', '사직', '사직대제', '대제', '아리랑', '페스티벌', '뿐', '한국인', '문화교류', '교류', '고향', '냄새', '라틴', '메리', '메리카', '카', '12', '12월', '월', '8', '9', '9일', '일', '이틀간', '분수', '마루', '2018', '을', '30', '30일', '2010', '2010년', '년', '이후', '아홉', '번째', '유럽', '정통']"
12,서울디자인페스티벌,"['예술', '예술경영지원센터', '경영', '지원', '센터', '아트', '굿', '굿즈', '즈', '편의점', '을', '국내', '디자이너', '세계', '진출', '2019', '서울', '디자인', '디자인페스티벌', '페스티벌', '통해', '28', '28일', '일', '의', '오', '12', '12월', '월', '4', '4일', '8', '8일', '코', '코엑스', '엑스', '닥터', '닥터그램', '그램', '니켈', '압박', '안', '안티', '티', '지의', '기술', '접목', '총', '4개', '개', '제품', '추가', '개발', '와이어', '안경테', '도', '수', '한편', '저', '18', '18회', '회', '서울디자인페스티벌', '은', '내달', '홀', '개최', '예정', '프로', '프로모션', '모션', '모토', '브랜드', '기업', '국내외', '동향', '경쟁력', '10', '10년', '년', '후', '미래', '논의', '유명', '창업', '창업가', '전문가', '참여', '글로벌', '스타트', '스타트업', '업', '페스티', '동대문', '플라자', '컴', '컴업', '스타트업과', '업과', '투자자', '기업간', '간', '교류']"
13,서울마을미디어축제,"['미디어', '활동', '결과물', '축제', '대구', '대구센터', '센터', '해', '시민', '대상', '영상', '영상제작', '제작', '영화', '영화상영회', '상영', '회', '2019', '2019년', '년', '마을', '마을미디어', '매니저', '양성', '양성과정', '과정', '을', '통해', '진', '2020', '2020년', '우수', '기획', '기획안', '안', '시상식', '동화', '내년', '4', '4월', '월', '30', '30일', '일', '이', '기간', '43', '43만', '만', '㎡', '등', '베네치아', '풍', '트리', '도', '1', '1월', '5', '5일', '계속', '12', '12월', '2', '2일', '서울', '명동', '정글짐', '모양', '아트', '매', '매경', '경', '그룹', '최근', '노인', '노인복지', '복지', '선진', '사례', '네덜란드', '요양', '요양현장', '현장', '시찰단', '모집', '의', '장', '프로그램', '인상적', '벡', '치매', '치매환자', '환자', '물건', '영등포', '영등포구', '구', '19', '19일', '토', '오전', '11', '11시', '시', '오후', '4시', '선유', '선유도', '선유도역', '도', '역', '선유도공원', '공원', '300', '구간', '거리', '시월', '선유', '개최', '2016', '2016년', '년', '오월', '시작', '4년', '년', '열리', '이번', '행사', '주민', '로', '구성', '남산', '남산한옥', '한옥', '참여', '참여예정', '예정', '철판', '철판요리집', '요리집', '효', '주최', '건강', '건강의료전문', '의료', '전문', '헬스', '주관', '저', '4회', '회', '한국', '맛', '오', '10', '10월', '31', '31일', '목', '컴백', '주', '부대', '부대행사인', '인', '도전']"
14,서울와우북페스티벌,"['사', '와우', '와우책문화예술', '책', '문화', '예술', '센터', '대표', '이채', '이채관', '관', '2019', '2019년', '년', '10', '10월', '월', '3', '3일', '일', '목', '6', '6일', '일', '4', '4일', '간', '홍', '홍대주차장거리', '대주', '차장', '거리', '주변', '공간', '저', '15', '15회', '회', '서울', '서울와우북페스티벌', '북', '페스티벌', '을', '진행', '의', '주제', '제', '제15회', '은', '동', '동시대', '시대', '독자', '관심사', '이', '넷', '박', '진', '기자', '강연', '프로그램', '시작', '막이', '중심', '도서', '도서전과', '전과', '야외', '야외행사', '행사', '뉴스', '뉴스토마토', '토마토', '권익', '015', '015회', '회', '홍대', '대', '올해', '시대적', '담론', '다각도', '조명', '포럼', '등', '생각', '수', '사람', '홍대거리', '대거리', '이하', '와우북페스티벌', '리', '사회적', '사회적기업', '기업', '국내', '책축제', '축제', '표방', '2005', '2005년', '다음달', '나흘', '나흘간', '간', '마포', '마포구', '구', '홍익', '홍익대', '앞', '주차장', '주차장거리', '주변공간', '개최', '25', '25일', '이번', '소득', '소득공제', '공제', '가능', '서점', '북페스티벌', '소개', '대한', '대한민국', '대한민국독서대전', '민국', '독서', '대전', '문학', '문학주간', '주간', '파주', '파주북소리', '소리', '문화비', '외', '박물관', '미술관', '공연장']"
15,서울드럼페스티벌,"['기존', '서울', '서울드럼페스티벌', '드럼', '페스티벌', '5', '5월', '월', '봄', '과', '디', '디음악축제', '음악', '축제', '9', '10', '10월', '가을', '여름', '서울국악축제', '국악', '6', '6월', '한강', '뮤직', '뮤직페스티벌', '8', '8월', '서울뮤직페스티벌', '겨울', '서울클래식음악축제', '클래식', '11', '12', '12월', '11월']"
16,남산골한옥마을세시맞이-추억의명절<오(五)대감한가위잔치>,"['남산골', '남산골한옥마을', '한옥', '마을', '오', '대감', '한가위', '한가위잔치', '잔치', '시', '시풍속', '풍속', '시맞이', '맞이', '행사', '추억', '명절', '진행', '우리네', '민속놀이', '서울시', '27', '28', '28일', '일', '다섯', '채의', '양반', '댁', '주제', '추석', '세세', '세세풍속', '체험', '민속', '놀이', '을', '수', '시간', '공연', '공연일시', '일시', '9', '9월', '월', '8', '8일', '오후', '00', '30', '공연장소', '장소', '국립', '국립국악원', '국악원', '관람', '관람연령', '연령', '취학', '취학아동', '아동', '관람가능', '가능', '관람시간', '90', '90분', '분', '격', '무료', '한옥마을', '세시', '세시맞이', '자료', '제공', '27일', '21', '21일', '옥', '일요', '일요신문', '신문', '이틀간', '개최', '서울', '부제', '이색적', '프로그램', '다양', '준비', '소개']"
17,실버문화페스티벌,"['동구', '저', '5', '5회', '회', '실버', '실버문화', '문화', '페스티벌', '광주', '광주광역시', '광역시', '최근', '을', '개최', '26', '26일', '일', '노인', '노인종합복지관', '종합', '복지관', '주관', '이번', '행사', '취미', '여가', '여가프로그램', '프로그램', '활동', '광주시', '청장', '임', '임택', '택', '20', '20일', '어르신', '실버동아리', '동아리', '참여', '가운데', '2019', '2019년', '년', '동', '동구청', '구청']"
18,북팔코믹스페스티벌:쁘띠북코페달빛과자전,[]
19,압구정로데오힐링페스티벌,"['사진', '현대', '현대백화점', '백화점', '제공', '전국', '15', '15개', '개', '6', '6개', '아울렛', '추석', '연휴', '힐링', '페스티벌', '을', '압구정', '압구정로데오', '로데오', '역', '인근', '위치', '갤러리', '명품', '명품관', '관', '니스', '트렌드', '이탈리아', '하이', '하이엔트', '엔트', '경희', '창조', '미', '이하', '아카데미', '지원', '계기', '축제', '기획', '관심', '저', '힐', '힐링페스티벌', '링', '2017', '정', '정동야행', '동야', '행', '물', '물순환', '순환', '시민', '문화제', '등', '다양', '행사', '주최', '기획단', '16', '16일', '일', '강남', '강남구', '구', '정순', '정순균', '균', '구청장', '구민', '사랑', '쌀', '쌀나눔운동본부', '나눔', '운동', '본부', '김장', '2000', '2000포기', '포기', '솥', '도시락', '지역', '저소득', '기부', '한국', '한국폭력학대예방', '폭력', '학대', '예방', '협회', '의', '청소년', '콘서트', '10', '10월', '월', '1', '1일', '3', '3일', '거리', '일대', '강남', '패션', '페스티', '이', '올해', '10년', '년', '민', '민속', '속', '캠프', '황토', '황토마을', '마을', '횡', '횡성한우축제', '성한', '우', '2016', '대한', '대한민국', '민국', '대표', '최고', '한우', '한우축제', '행사기간', '기간', '서울', '서울특별', '서울특별시', '특별시', '시', '로데오거리', '2016.05', '06', '07', '은', '패션페스티벌', '거리예술공연', '예술', '공연', '놀이', '놀이체험부스', '체험', '부스', '경품', '11', '11일', '신사', '신사동', '동', '열린', '2015', '거리공연', '2015.12', '저작권자', '연합', '연합뉴스', '뉴스', '무단', '전재', '배포', '금지', '12', '강남구청', '구청', '후원', '12월', '금', '12일', '토', '양일', '간']"
