,축제명,축제주요내용
30,K-FoodFestival,"['본', '0', '0행사의', '행', '사의', '0자세한', '자', '세한', '0사항', '사항', '0홈페이지', '홈페이지', '0통해', '통해', '0확인', '확인', '0가능', '가능', '0온라인', '온라인', '0사전', '사', '전', '밋', '이', '0오', '오', '06', '06월', '월', '028', '028일', '일', '030', '030일', '0일산', '일산', '텍스', '07']"
31,북팔코믹스페스티벌,"['17', '17일', '일', '서울', '학', '학여울역', '여울', '역', '세텍에서', '서울디저트페어', '디저트', '페어', '수', '수박', '박', '망고', '주최', '북', '코믹스', '금', '금손', '손', '페스티', '냥', '디저트페어', '동시', '페이스', '페이스북', '스타', '스타그램', '그램', '등에', '인기', '맛', '맛집', '집', '0', '0국내', '국내', '0최대', '최', '대', '0규모', '규모', '0디저트', '0축제인', '축', '제인', '0올해', '올해', '020', '020회차', '회', '차', '0다양', '다양', '0창작물', '창작물', '0전시', '전시', '저', '9', '9회', '회', '0서울금손', '도', '0오', '오', '02', '02월', '월', '08', '08일', '010', '010일', '재', '반려', '반려동물', '동물', '용품', '소품', '축제', '7', '7월', '일', '이번', '멍', '멍냥', '서울금손', '과', '개최', '행사', '티켓', '장', '세', '제공', '14', '14일', '일', '15', '15일', '양일간', '학여울', '가지', '주최사', '사', '21', '21일', '22', '22일', '텍', '전시장', '고양이', '공동', '이', '이번', '번', '300', '300여개', '여', '개', '면', '레진', '정답', '은', '웹', '웹소설', '소설', '웹툰', '툰', '플랫폼', '두각', '조아', '12', '12월', '1', '1회', '노', '레스', '신규', '신규작품', '작품', '77', '을', '전문가', '평가', '100', '독자', '엔', '엔씨', '씨', '관람객', '온라인', '온라인게임', '게임', '엠', '엠엑스엠', '엑스', '의', '캐릭터', '캐릭터인', '인', '라미', '지난달', '30', '30일', '일본', '피', '피규', '규', '축제인', '2017', '원', '참가', '한정', '클로에', '피규어']"
32,강동친환경도시농업축제,"['정훈', '강', '강동', '동', '구청장', '25', '25일', '일', '상일', '상일텃밭', '텃밭', '상일', '상일동', '동', '12', '12번지', '번지', '갈무리', '축제', '참석', '한해', '주민', '도시', '도시농업', '농업', '단체', '회원', '등', '100', '100여', '여', '명', '토', '토종배추', '종', '배추', '김장', '소통', '시간', '미세', '미세먼지', '먼지', '리', '리미', '미', '전광판', '설치', '친', '친환경', '환경', '전기', '전기자동차', '자동차', '보급', '영세', '영세사업장', '사업장', '대기', '대기오염', '오염', '방지', '방지시설', '시설', '지원', '문화', '로', '한', '건천', '건천체육공원', '체육', '공원', '조성', '불국', '스포츠', '스포츠센터', '센터', '건립', '모', '모량초등학교', '량', '초등학교', '개방형', '다목적', '체육관', '에너지', '에너지자립마을', '자립', '마을', '온실', '온실가스', '가스', '진단', '컨설팅', '다양', '지원방안', '방안', '마련', '에너지자립', '구', '고', '한편', '성내', '성내동', '위치', '올림픽', '올림픽파크', '파크', '양수', '양수자인', '자인', '건강', '지향', '사업', '기후', '기후변화', '변화', '대응', '수', '정책', '이번', '박람회', '의', '청', '과', '문의', '별', '푸른', '문의하면', '하면', '안내']"
33,서울김장문화제,"['28', '28일', '일', '서울시', '다음', '달', '1', '3', '3일', '사흘간', '서울', '서울광장', '광장', '교로', '일대', '지역', '상생', '주제', '2019', '서울김장문화제', '김장', '문화제', '개최', '하이라이트', '이틀간', '65', '배추', '김장나눔', '나눔', '행사', '0', '0서울시', '다음달', '김', '장', '은', '김장문화', '문화', '협력', '가치', '대표', '대표행사', '시민', '단체', '기업', '등', '1일', '시청', '시청앞', '앞', '김장문화제', '외국인', '한마음', '소외', '이웃', '김치', '김치명인', '명인', '김장간', '간', '우리집']"
34,6시내고향토종씨앗축제,"['6', '6시', '시', '내고', '내고향', '향', '은', '16', '16일', '일', '서울', '여의도', '홀', '앞', '광장', '시청자', '3000', '3000명', '명', '토종', '토종씨앗', '씨앗', '을', '무료', '토종씨앗축제', '축제', '하경', '기자', '스포츠', '스포츠경향', '경향', '뉴스', '프로그램', '6000', '6000회', '회', '김', '김정수', '정수', '국장', '1', '1의', '의', '거점', '기간', '제작', '고', '입', '기념', '기획', '데', '지난해', '10', '10월', '월', '한편', '1991', '1991년', '년', '5', '5월', '20', '20일', '방송', '이후', '25', '25년간', '간', '전국', '농어촌', '먹', '거기', '소개', '동아', '동아닷컴', '닷컴', '연예', '연예팀', '팀', '공식', '페이스', '페이스북', '북', '스타', '화보']"
35,정동야행,"['정', '교수', '정동', '정동야행', '야행', '등', '2016', '2016년', '년', '시작', '문화재', '활용', '야간', '프로그램', '축제', '진주', '남강', '남강유', '유', '등축제', '소개', '앞', '기조', '기조발표', '발표', '다이', '중국', '중국관광연구원장', '관광', '연구원장', '야간경제', '경제', '동화', '동화약품', '약품', '10', '10월', '월', '25', '25일', '일', '26', '26일', '양일간', '서울', '중구', '일대', '2019', '참여', '이번', '시간', '시간여행', '여행', '을', '주제', '정동의', '동의', '근대', '역사', '문화', '조명', '서울특별', '서울특별시', '특별시', '시', '오후', '정동일대', '성황리', '개막', '은', '0', '1897', '테마', '개화기', '재']"
36,서울과자북코페,[]
37,서울장미축제,"['빛', '축제', '저', '7', '7회', '회', '이', '이월드', '월드', '별빛', '개최', '별', '장', '장미', '미', '정', '정원', '원', '등', '3', '3개', '개', '꽃', '올해', '서울', '겨울', '라이트', '동대문', '동대문디자인플라자', '디자인', '플라자', '건물', '외벽', '스크린', '삼아', '12', '12월', '월', '20', '20일', '일', '내년', '봉산', '봉산문화회관', '문화', '회관', '스페이스', '스페이스라온', '라온', '11', '11월', '23', '23일', '오후', '3시', '시', '최', '최석민', '석민', '무용단', '2', '28', '28무용극', '무용극', '우리', '역사', '역사문화광장', '광장', '지식', '음', '중구', '도서관', '부산', '부산콘텐츠유니버시아드', '콘텐츠', '유니버시아드', '덕수궁', '돌담', '돌담길', '길', '시민', '5000', '5000명', '명', '참여', '문화재단', '재단', '21', '21일', '다음', '달', '26', '26일', '영등포', '선유', '선유도', '도', '공원', '반딧불', '조명', '선유도역', '역', '구리', '포', '포천간', '천간', '고속도로', '개통', '1', '1시간', '시간', '방문', '수', '계절', '계절별', '일몰', '시간', '전국', '최대', '최대규모', '규모', '다이나', '다이나믹광장', '믹', '과', '국내', '국내최초', '최초', '별빛수국정원', '수국', '어드벤처', '어드벤처광장', '정림', '자가', '초청', '초청가수', '가수', '출연', '현장', '분위기', '예정', '한편', '노래', '노래자랑', '자랑', '참가', '희망', '은평', '은평구', '은평구민', '구', '민', '기독', '기독대학교', '대학교', '전화', '접수', '입상자', '부상', '전자', '전자피아노', '피아노', '개화', '5', '5월', '서울장미축제', '202', '명이', '주민', '휴식처', '방', '방문객', '문객', '장소', '각광', '이']"
38,연예인과함께하는희망나눔페스티벌,"['사랑', '나눔', '포차', '관람객', '보기', '에어', '에어바운스', '바운스', '표기', '숫자', '숫자만큼', '만큼', '참가자', '이름', '쌀', '기부', '방식', '진행', '초록', '초록우산', '우산', '어린이', '어린이재단', '재단', '기부방방', '방방', '행사', '고려대', '고려대학교', '학교', '의과', '의과대학', '대학', '잎', '잎클로버', '클로버', '페스티', '학장', '홍', '홍식', '식', '은', '최근', '담', '희망', '주제', '병원', '1', '1층', '층', '3', '3층', '지역', '지역사회', '사회', '4', '4번째', '번째', '건강', '파주', '파주시', '파주시민', '시', '민', '행복', '페스티벌', '을', '성황리', '개최', '이날', '오후', '5', '5시', '시', '9', '9시', '30', '30분', '분', '2', '2부', '부', '날개', '날개클럽', '클럽', '후원', '청소년', '국악인', '이한', '이한서', '서', '공연', '분위기', '이어진', '연', '연예인', '예인', '올해', '16', '16회', '회', '맞이', '고령', '고령군', '군', '의', '새싹', '잔치', '방송', '댄스', '합창', '태권도', '시범', '스트릿', '뮤지컬', '초청', '레크리에이션', '경품', '경품추천', '추천', '등', '무대', '이벤트', '성주', '성주군']"
39,"서대문,1919그날의함성!","['1919', '년', '1', '1월', '월', '경성', '기독교', '목사', '오화영', '신석구', '등', '나', '독립', '독립운동', '운동', '논의', '2', '2월', '20', '20일', '일', '서대문', '그날', '밤', '최종', '최종현', '현', '주동자', '시위', '준비', '속', '남산', '남산교', '교', '부근', '그때', '저녁', '사', '강원', '강원여성', '여성', '예', '예협회', '협회', '주최', '주관', '강원', '강원도', '도', '후원', '3', '1절', '절', '100', '100주년', '주년', '기념', '함성', '저', '9', '9회', '회', '아우', '장터', '태극기', '만세', '만세운동', '주도', '주도하다', '하다', '형무소', '압송', '일제', '고문', '끝', '순국', '서울', '구', '1운동', '3월1일', '독립공원', '공원', '형무소역사관', '역', '사관', '일대', '100년', '년', '외침', '주제', '날', '0', '0행사', '행사', '개최', '3일', '이날', '문', '문석진', '석진', '구청장', '다음달', '1일', '22', '22일', '역사', '역사어린이합창단', '어린이', '합창단', '삼일절', '당일', '오전', '9시', '시', '11', '11시', '역사관', '내', '특설', '무대', '배우', '저항', '염원']"
40,우유의날행사&국내산치즈페스티벌,"['인천', '인천지법', '지법', '부천', '부천지원', '지원', '형사', '형사1부', '1', '부', '임', '임해지', '해지', '부장', '부장판사', '판사', '통화', '통화위조', '위조', '위조통화', '행사', '등', '혐의', '기소', '씨', '40', '그', '날', '부천', '부천시', '시', '상점', '950', '950원', '원', '우유', '1팩', '팩', '뒤', '원권', '위조지폐', '지폐', '거스름돈', '9050', '9050원', '원', '이번', '아동', '아동복지시설', '복지', '시설', '종사자', '250', '250여', '여', '명', '참석', '도지사', '표창', '아동학대', '학대', '예방', '다짐', '학생', '9', '9명', '구성', '봉사', '봉사동아리', '동아리', '3', '3월', '월', '급식', '제공', '2', '2만여', '만', '장', '화장지', '2천', '천', '개', '천안', '관내', '11', '11개', '농', '축협', '참여', '천안', '천안시', '농특산물', '특산물', '배', '봉', '봉포도', '포도', '오이', '쌀', '잡곡', '버섯', '30', '30여종', '여종', '하늘', '하늘그린', '그린', '농산물', '고추장', '된장', '떡', '치즈', '6', '6차', '차', '산업', '산업제품', '제품', '토', '토바우', '바우', '한우', '천', '천안축협', '안']"
41,개화산해맞이행사,"['서울', '강서', '강서구', '구', '1', '1월', '월', '1일', '일', '개화산', '정상', '구민', '2019', '해맞이', '행사', '개최', '24', '24일', '구', '해', '마무리', '각오', '출발', '준비', '다양', '공연', '문', '이번', '축제', '소망', '소망엽서', '엽서', '보내기', '가훈', '주기', '등', '진행', '오전', '7', '7시', '시', '47', '47분쯤', '분', '쯤', '기해', '수', '편집', '김', '김환', '환', '기자', '2019년', '년', '첫날', '은', '최서단', '위치', '산', '동쪽', '명소', '명소여', '여', '주민', '로', '인산', '인산인해', '인해', '이', '6', '6시', '50', '50분', '신명', '길놀이', '흥', '기운', '대', '북', '북공연', '템포디', '사전', '강서', '강서주민', '새해', '새해소망', '인터뷰', '영상']"
42,인왕산청운공원해맞이축제,"['서울', '종로', '종로구', '구', '구청장', '김', '김영종', '영종', '오', '1', '1월', '월', '1일', '일', '저', '20', '20회', '회', '인왕산', '청운', '청운공원', '공원', '해맞이', '축제', '개최', '26', '26일', '2019', '2019년', '년', '시작', '축하', '주민', '화합', '건강', '기원', '마련', '자리', '1월1일', '동', '청와대', '기해', '새해', '화', '첫날', '제', '제20회', '30', '30일', '앞', '각', '오전', '7', '7시', '시', '2', '2시간가량', '시간', '가량', '진행', '8', '8시', '풍물패', '공연', '북', '새해소망', '소망', '가훈', '주기', '등', '운영', '성동', '성동구', '응', '응봉산', '봉산']"
43,한부모가족모두하나대축제,"['19', '19일', '일', '서울', '서울특별', '서울특별시', '특별시', '시', '부모', '부모가족', '가족', '지원', '지원센터', '센터', '주관', '모두', '하나', '대축제', '참여', '아이', '무료', '목공', '체험', '서비스', '제공', '21', '21일', '한국', '한국임업진흥원', '임업', '진흥원', '임직원', '자원', '자원봉사자', '봉사자', '10', '10월', '월', '2019', '모두하나대축제', '포스터', '인식', '인식개선', '개선', '0', '광화문', '북측', '북측광장', '광장', '차별', '당', '생활', '수', '사회', '환경', '마련', '축제', '진행', '서울시가', '시가', '주최', '서울시']"
44,응봉산해맞이축제,"['새해', '날', '응', '응봉산', '봉산', '해맞이', '축제', '성동', '성동구', '구', '주민', '안녕', '행복', '기원', '도시', '도시브랜드', '브랜드', '향상', '개최', '스마트', '스마트포용도시', '포용', '론', '이용', '하늘', '하늘인사', '인사', '풍물패', '전자', '전자현악', '현악', '공연', '성', '성동', '성동구', '동구', '구', '구청장', '정원', '정원오', '오', '기해', '1', '1일', '일', '오전', '7', '7시', '시', '팔각정', '한강', '서울', '서울숲', '숲', '등', '동부', '모습', '눈', '수', '도심', '속', '최고', '일출', '명소', '소망', '소망풍선', '풍선', '프로그램', '준비', '성북', '성북구', '개', '개운산공원', '운산', '공원', '운동장', '성북', '행사', '마련', '대북', '대북공연', '기', '기해년', '해년', '첫날', '2', '2일', '산', '개나리', '개나리꽃', '꽃', '봄날', '여름', '동네', '야경', '사진', '사람', '한밤', '데이트', '연인', '강북', '강북구', '북한산', '시단', '시단봉', '봉', '시민', '종로', '종로구', '청운', '청운공원', '화합', '건강', '예정', '서울지역', '지역', '산과', '서대문', '서대문구', '안산', '안산봉수대', '봉수대', '인왕산', '경기', '경기도', '도', '구리', '광진', '광진구', '경계', '아차산', '광장', '눈꽃', '눈꽃산행', '산행', '장소', '겨울', '태백산', '평', '평창', '창', '대관령', '덕유산', '중', '상암', '상암동', '동', '하늘공원', '억새', '로', '유명', '서쪽', '명', '명소다', '소다', '은', '규모', '시내', '위치', '접근', '한눈']"
45,전쟁기념관어린이날문화축제,"['전쟁', '전쟁기념관', '기념관', '은', '다음', '달', '5', '5일', '일', '저', '97', '97회', '회', '어린이날', '을', '공연', '체험', '행사', '문화', '문화축제', '축제', '개최', '25', '25일', '오전', '9', '9시30분', '시', '30', '분', '오후', '4', '4시', '선착순', '1000', '1000명의', '명의', '서울', '용산', '용산구', '구', '평화', '평화광장', '광장', '열린', '수방사', '헌병', '헌병단의', '단의', '모터', '사이', '사이카', '카', '퍼레이드', '사진', '박', '기자']"
46,지구촌나눔한마당,"['화합', '나눔', '을', '실천', '취지', '퍼포먼스', '마련', '공동체', '활동', '우수', '우수사례', '사례', '공유', '우리', '마을', '마을자랑대회', '자랑', '대회', '최우수', '최우수상인', '상인', '어울림', '어울림상', '상', '지구촌', '문화', '문화공동체', '대표', '김', '애', '감동', '창덕', '창덕마을공동체', '해', '해봄', '봄', '2019', '2019년', '년', '광양', '광양시', '시', '마을공동체', '한마당', '성', '대전', '대전시가', '시가', '시민', '외국인', '외국인주민', '주민', '축제', '개최', '이달', '26', '26일', '일', '오전', '10', '10시', '시', '보라매', '보라매공원', '공원', '대전시민', '소통', '저', '11', '11회', '회', '세계인', '행사', '전', '세계']"
47,아차산해맞이축제,"['새해', '해맞이', '장소', '인기', '추석', '아차산', '보름달', '수', '시간', '13', '13일', '일', '018', '018시', '시', '37', '37분로', '분로', '촌', '촌호수', '호수', '벚꽃', '축제', '로', '사람', '곳', '기도', '하다', '이', '이번', '번', '18', '18시', '시', '37분', '분', '서울', '광진', '광진구', '구', '2019', '2019년', '년', '황금', '황금돼지', '돼지', '해', '기해', '을', '내년', '1', '1월1일', '월', '오전', '7', '7시', '광장', '개최', '27', '27일', '등산객', '축하', '문화', '문화공연', '공연', '2018', '2018년', '1월', '1일', '모습', '업', '업코리아', '코리아', '년', '동쪽']"
48,하늘공원해맞이행사,"['이후', '1981', '1981년', '년', '다도해', '다도해해상국립', '해상', '국립', '공원', '지정', '편백', '편백나무', '나무', '숲', '훼손', '수령', '100', '100년', '국내', '1', '1월', '월', '1일', '일', '남', '남열', '열', '해수욕장', '새해', '해맞이', '행사', '도', '전국', '제일', '유자', '산지', '고흥', '내년', '고흥방문', '방문', '얼굴', '태양', '하늘', '로', '무언가', '기', '심정', '영겁', '호미', '축제', '불꽃', '불꽃쇼', '쇼', '음악회', '떡국', '등', '다양', '진행', '근처', '이때', '곱', '단풍', '만추', '청명', '과', '찬바람', '낙엽', '낭만', '낭만적인', '적인', '여행', '이곳', '대덕', '대덕구', '구', '곳', '브런', '메뉴', '송이', '송이떡국', '만두', '만두샐러드', '샐러드', '마포', '마포구', '구청장', '유동', '유동균', '균', '2019', '2019년', '년', '기해', '황금', '돼지띠', '해', '월드컵', '하늘공원', '개최', '28', '28일', '은', '서울', '대표적', '해돋이', '명소', '명소이자', '이자', '생태', '중랑', '중랑구', '봉화산', '정상', '강서', '강서구', '개화산', '구로', '구로구', '매봉산', '서초', '서초구', '우', '산', '소망', '소망탑', '탑', '강동', '강동구', '일', '일자산', '자산', '광장', '약', '1만명', '만', '명', '참석', '등산로']"
49,응봉산개나리축제,"['응', '응봉산', '봉산', '은', '중랑천', '한강', '합류', '입지', '입지여건', '여건', '한강조망', '조망', '포인트', '유명', '봄철', '개나리', '개나리축제', '축제', '시민', '관광', '관광명소', '명소', '편', '정월', '대보름', '주민', '이곳', '달을', '성', '성동', '성동구', '동구', '구', '구청장', '정원', '정원오', '오', '봄', '전령', '전령사', '사', '노란색', '핀', '3', '3월', '월', '29', '29일', '일', '31', '31일', '저', '22', '22회', '회', '개최', '이번', '주제', '환경', '미래', '지구', '로', '사진', '지난해', '모습', '성동', '성동구', '구']"
50,C-Festival(씨페스티벌),"['희선', '기자', '5', '5월', '월', '축제', '서막', '씨', '씨페스티벌', '페스티벌', '성황리', '마무리', '삼성', '삼성동', '동', '무역', '무역센터', '센터', '코', '코엑스', '엑스', '일대', '5회차', '회', '차', '본', '행사', '단순', '소비', '청년', '스타트', '스타트업', '업', '기업', '참여', '2019', '을', '개최', '은', '대한', '대한민국', '민국', '최대', '민', '관', '관협업', '협업', '마이', '행사다', '공연', '우수', '3', '3개사', '개사', '스타', '러', '러스터', '스터', '위원회', '광장']"
51,자연휴양림휴문화한마당,"['산림청', '국립', '자연', '자연휴양림', '휴양림', '30', '30주년', '주년', '나무', '숲', '우리', '혜택', '체험', '수', '기념', '휴', '문화', '한마당', '교육', '어울림', '행사', '24', '26', '26일', '일', '3', '서울', '양재', '시민', '청장', '김', '김재현', '재현', '은', '국내', '최대', '축제', '휴문', '숲교육', '이', '0', '0행사', '올해', '진', '0축제', '잔치', '0이날', '이날', '가치', '0통합', '통합', '기한', '하나', '부상', '0전국', '전국']"
52,서울드럼페스티벌,"['기존', '서울', '서울드럼페스티벌', '드럼', '페스티벌', '5', '5월', '월', '봄', '과', '디', '디음악축제', '음악', '축제', '9', '10', '10월', '가을', '여름', '서울국악축제', '국악', '6', '6월', '한강', '뮤직', '뮤직페스티벌', '8', '8월', '서울뮤직페스티벌', '겨울', '서울클래식음악축제', '클래식', '11', '12', '12월', '11월']"
53,신촌뷰티페스티벌,"['뮤지컬', '물론', '연극과', '음악', '공연', '각종', '페스티', '곳곳', '행사', '방문', '수요', '미', '미용', '용', '학원', '올', '올댓', '댓', '뷰티', '아카데미', '강남', '촌', '대', '홍', '홍대', '대', '부산', '서면', '대구', '인천', '대전', '청', '홍대야', '대야', '남이섬', '이', '7', '7일', '일', '8', '8일', '3', '3주차', '주차', '레이', '레이지본', '지본', '핸', '핸섬', '섬', '언어', '정원', '타이', '타이거즈', '거즈', '남이섬어쿠스틱청춘', '어쿠스틱', '청춘', '사진', '사진제공', '제공', '남이섬교육문화그룹', '교육', '문화', '그룹', '오리엔탈', '오리엔탈쇼', '쇼', '브라스', '2', '2주차', '주말', '오리엔탈쇼커스', '커스', '0', '0두왑사운즈', '두왑', '사운', '즈', '0중국', '중국', '뮤지션', '하마', '0언어', '0블루파인', '블루', '파인', '0정흠밴드', '정', '흠', '밴드', '무대', '예정']"
54,커플런,"['티스', '티스테', '테', '2020', '2020년', '년', '2', '2월', '월', '8', '8일', '일', '방', '방콕', '콕', '홀딩', '홀딩핸즈런', '핸즈', '런', '커플', '단거리', '마라톤', '참여', '한국', '대표', '모집', '당첨', '태국', '현지', '행사', '커플런', '참가권', '항공권', '숙식', '등', '3', '3박', '박', '5', '5일', '여행', '비용', '내년', '진행', '2017', '2017년', '태국본사', '본사', '일반적', '3박5일', '전액', '달리기']"
55,압구정로데오힐링페스티벌,"['사진', '현대', '현대백화점', '백화점', '제공', '전국', '15', '15개', '개', '6', '6개', '아울렛', '추석', '연휴', '힐링', '페스티벌', '을', '압구정', '압구정로데오', '로데오', '역', '인근', '위치', '갤러리', '명품', '명품관', '관', '니스', '트렌드', '이탈리아', '하이', '하이엔트', '엔트', '경희', '창조', '미', '이하', '아카데미', '지원', '계기', '축제', '기획', '관심', '저', '힐', '힐링페스티벌', '링', '2017', '정', '정동야행', '동야', '행', '물', '물순환', '순환', '시민', '문화제', '등', '다양', '행사', '주최', '기획단', '16', '16일', '일', '강남', '강남구', '구', '정순', '정순균', '균', '구청장', '구민', '사랑', '쌀', '쌀나눔운동본부', '나눔', '운동', '본부', '김장', '2000', '2000포기', '포기', '솥', '도시락', '지역', '저소득', '기부', '한국', '한국폭력학대예방', '폭력', '학대', '예방', '협회', '의', '청소년', '콘서트', '10', '10월', '월', '1', '1일', '3', '3일', '거리', '일대', '강남', '패션', '페스티', '이', '올해', '10년', '년', '민', '민속', '속', '캠프', '황토', '황토마을', '마을', '횡', '횡성한우축제', '성한', '우', '2016', '대한', '대한민국', '민국', '대표', '최고', '한우', '한우축제', '행사기간', '기간', '서울', '서울특별', '서울특별시', '특별시', '시', '로데오거리', '2016.05', '06', '07', '은', '패션페스티벌', '거리예술공연', '예술', '공연', '놀이', '놀이체험부스', '체험', '부스', '경품', '11', '11일', '신사', '신사동', '동', '열린', '2015', '거리공연', '2015.12', '저작권자', '연합', '연합뉴스', '뉴스', '무단', '전재', '배포', '금지', '12', '강남구청', '구청', '후원', '12월', '금', '12일', '토', '양일', '간']"
56,땡큐페스티벌(ThankUFestival),[]
57,불꽃곰신페스티벌,"['한화', '한화그룹', '그룹', '남자', '남자친구', '친구', '군대', '여자', '여자친구', '불꽃', '곰', '곰신', '신', '고', '고무신', '무신', '페스티', '을', '개최', '군인', '외', '사회적', '귀감', '인물', '지원', '기업', '의인', '상', '제정', '밖', '재능', '재능기부', '기부', '군', '홍보물', '디자인', '개선', '불꽃곰신', '페스티벌', '문화', '분야', '노력', '전경련', '이용우', '사회', '사회본부장', '본부장', '우리', '롯데', '롯데백화점', '백화점', '호국', '호국안보', '안보', '전시', '전시전', '전', '군생활', '생활', '체험', '부스', '마련', '본', '기사', '월간', '경제', '경제풍월', '풍월', '제', '제207호', '207', '호', '2016', '2016년', '년', '11', '11월호', '월', '호', '6', '6월', '호국보훈', '보훈', '달', '18', '18일', '일', '서울', '이대', '이대역', '역', '앞', '라', '이벤트', '참가', '여성', '신발', '은', '간', '일', '이대앞', '국군', '국군장병', '장병', '가족', '연인', '오후', '6시', '시', '이화', '이화여대', '여대', '타', '계단', '대현', '대현문화공원', '공원']"
58,아트업페스티벌,"['이번', '페스티', '폐', '폐자원', '자원', '폐자재', '자재', '활용', '다양', '업', '업사이클', '사이클', '작품', '전시', '이', '이번', '번', '행사', '시티', '주제', '라이프', '아트', '시민', '시민참여프로그램', '참여', '프로그램', '등', '3', '3개', '개', '세부', '섹션', '구성', '미술관', '밤', '드로', '미술', '미술주간', '주간', '연계', '진행', '무료', '무료입장', '입장', '입장료', '할인', '출처', '2019', '포스터', '아트업', '마켓', '이외', '작가', '작가미술장터', '장터', '미술품', '하나', '방식', '독립', '독립예술', '예술', '조명', '점', '내', '마음', '서울', '공간', '예술공간', '관심', '분', '보는', '듯', '하다', '문화', '문화비축기지', '비축', '기지', '류', '내일', '24', '24일', '일', '29', '29일', '청계천', '청계', '청계광장', '광장', '광', '광통교', '통교', '일대', '개최', '꽃', '환상', '미술장터', '예술산책', '산책', '길', '부산', '랩', '아트페어', '페어', '그림', '그림도시', '도시', '폼', '369', '블라인드', '포스터전', '전', '더스트', '사우스', '사우스아트', '유니온', '연희', '연희동', '동']"
59,영등포여의도봄꽃축제,"['25', '25일', '일', '서울', '영등포', '구', '4', '4월', '월', '5', '5일', '11', '11일', '국회', '뒤편', '여의', '여의서로', '서로', '한강', '한강둔치', '둔치', '축구장', '일대', '저', '15', '15회', '회', '여의도', '봄꽃', '봄꽃축제', '축제', '이', '이번', '번', '꽃', '봄', '주제', '1.7', '휴일', '7', '7일', '열린', '2019', '시민', '윤', '윤중로', '중로', '만개', '벚꽃', '벚꽃길', '길', '오', '사진', '김', '석', '기자', '버스', '막차', '막차운행', '운행', '정보', '서울교통정보센터', '교통', '센터', '피스', '홈페이지', '120', '다산', '다산콜센터', '콜', '확인', '수', '도로', '도로통제', '통제', '상', '가능']"
60,어린이벼룩시장,"['올해', '2', '2회', '회', '동인', '낭만', '시장', '은', '콘서트', '등', '다양', '볼거리', '체험', '제공', '어린이', '들', '지역민', '참여', '벼룩시장', '80', '80여개', '여', '개', '팀', '참가', '의미', '이', '송', '개최', '낭만거리', '거리', '낭만랜드', '랜드', '과', '레트', '레트로', '로', '마켓', '날씨', '계룡', '계룡시', '시', '엄사', '엄사중앙', '중앙', '공원', '청소년', '열린', '가운데', '집', '물품', '사진', '계룡시청', '시청', '동아리', '장기', '장기자랑', '자랑', '간식', '간식먹거리', '먹거리', '판매', '판매부스', '부스']"
61,라이프플러스피크닉페스티벌,"['브랜드', '라이프', '라이프플러스', '플러스', '현대', '도시인', '도시', '삶', '주목', '이유', '때문', '벚꽃', '피크닉', '시네마', '시네마위크', '위크', '문화', '예술', '이벤트', '결합', '페스티', '이', '현재', '풍요', '수', '페스티벌', '4', '4월13일', '월', '13', '일', '14', '14일', '일', '개최', '지난해', '진행', '사', '사계절', '계절', '사진', '한화', '한화생명', '생명', '위', '리', '리오늘', '오늘', '신민', '신민호', '호', '기자', '2019', '을', '올해', '4회', '회', '피크닉페스티벌', '은', '4만', '만', '여', '여명이', '명이', '정도', '인기', '공연', '무료', '누구', '참여', '콘서트', '이외', '다양', '거리', '4만여명', '여', '명', '봄', '행사', '13일', '토', '유료', '유료공연', '관람', '티켓', '판매', '지난달', '21', '21일', '24', '티', '티몬을', '몬을', '통해', '일']"
62,서울자전거대행진,"['자전거', '대행진', '코스', '약', '20', '잠실', '잠실학생체육관', '학생', '체육관', '출발', '퍼레이드', '진행', '10', '동작대', '동작대교', '교', '교차로', '반환점', '도착', '27', '27일', '일', '서울', '시', '시교육청', '교육청', '은', '28', '28일', '후', '올림픽', '올림픽공원', '공원', '해산', '평화', '평화통일', '통일', '염원', '자전거대행진', '분단', '아픔', '극복', '개성', '개성공단', '공단', '활성화', '금강산', '평화적', '이용', '남북', '남북간', '간', '점진', '점진적인', '적인', '발전', '소통', '기원', '궁극적', '9', '9일', '오전', '종로', '종로구', '구', '광화문', '광화문광장', '광장', '열린', '참가자', '2019.06', '09']"
63,한강서래섬유채꽃축제,"['한강', '공원', '서래', '서래섬', '섬', '유채꽃', '만', '만개', '개', '나들이', '연일', '초여름', '날씨', '전국', '곳곳', '이곳', '봄', '꽃', '축제', '의', '화사', '분위기', '다양', '행사', '포크', '재즈', '장르', '음악', '서울시', '한강사업본부', '사업', '본부', '11', '12', '12일', '일', '반포', '강', '강공원', '일대', '2019', '개최', '10', '10일', '유채꽃밭', '밭', '기기', '테마', '포토', '포토존', '존', '주제', '구조물', '설치', '시민', '자작']"
64,필스너스프링페스트,"['하이네', '하이네켄', '켄', '19', '20', '20일', '일', '서울', '올림픽', '올림픽공원', '공원', '서울재즈페스티벌', '재즈', '페스티벌', '후원', '지난해', '코', '코엑스', '엑스', '필스', '스프링', '페스트', '필', '필스너우르', '스너', '우', '르', '켈', '규모', '내달', '16', '17', '17일', '너', '우르켈', '개최', '사진', '제공', '필스너', '19일', '삼성', '삼성동', '동', '동쪽', '광장', '맥주', '뉴', '뉴시스', '시스', '배우', '하석', '하석진이', '진이', '강남', '강남구', '구', '열린', '비어', '비어토크', '토크', '기념', '포토', '포토행사', '행사', '참석', '포즈', '진행', '3', '3일']"
