,축제명,클러스터 라벨
181,대학로 거리공연축제 ,5
182,고려인삼 페스티벌 두근두근 삼쿵 ,5
183,신촌야행 ,5
184,서울 구로국제어린이영화제 ,4
185,한강 서래섬 유채꽃축제 ,5
186,청춘페스티벌 ,3
187,서울 코믹월드 ,4
188,신촌국제꽃시장 ,5
189,국악로 국악대축제 ,5
190,겸재문화예술제 ,3
191,서울안전한마당 ,4
192,서울동화축제 ,5
193,영등포 어린이축제 ,1
194,사각사각 봄이 오는 소리 ,5
195,MCN 키즈 페스티벌 ,1
196,대한민국 어린이축제 푸른꿈을 찾아서 ,1
197,씨페스티벌 (C-Festival) ,5
198,서울 보드게임 페스타 ,5
199,종묘대제 ,1
200,서울 보드게임페스타 ,5
201,연등회 ,4
202,궁중문화축전 ,4
203,광주세계김치축제 광주햇김치 서울나들이 ,4
204,롯데월드타워 불꽃축제 ,1
205,시끌벅적 과학축제 ,4
206,서울국제즉흥춤축제 ,1
207,충무공 이순신 탄신 기념 행사 ,1
208,원더풀 페스티벌(ONETHEFULL FESTIVAL) ,3
209,서울디저트페어 벚꽃&체리 ,4
210,단종비 정순왕후 추모 문화제 ,3
211,4·19혁명국민문화제 ,1
212,Lifeplus 벚꽃피크닉 ,3
213,석촌호수 벚꽃축제 ,5
214,영등포 여의도봄꽃축제 ,5
215,수양벚꽃과 함께하는 호국의 봄 열린 현충원 행사 ,5
216,영등포여의도봄꽃축제 ,5
217,국회개방행사 국회의 봄 ,3
218,안산자락길 벚꽃음악회 ,5
219,양재천 벚꽃 등(燈) 축제 ,3
220,동대문 봄꽃축제 ,1
221,구로거리공원 벚꽃축제 ,3
222,금천 하모니 벚꽃축제 ,3
223,응봉산 개나리축제 ,3
224,서울 코믹월드 ,4
225,"서대문, 1919 그날의 함성! ",3
226,남산골한옥마을 정월대보름과 친구들 ,3
227,국립민속박물관 정월대보름 한마당 ,3
228,북촌한옥마을 계동마님댁 대보름 달맞이 ,4
229,서울디저트페어 초코&딸기 ,1
230,V프로젝트 GOLDEN NEW YEAR 용산아이파크몰 팝업스토어 ,3
231,서울 코믹월드 ,4
232,서울 아시테지 겨울축제 ,4
233,서울 살롱 뒤 쇼콜라 ,5
234,서울영상광고제 ,1
235,서울영상광고제 ,1
236,하늘공원해맞이행사 ,3
