,0,1
0,서울국제빵과자페스티벌,"['[]', '[<dd>\xa0백운용\xa0기자\xa0=\xa0대구공업대학교(총장\xa0이별나)\xa0호텔외식조리계열\xa0창업동아리\xa0DECO(지도교수\xa0이경숙)는\xa0제19회\xa0<strong class=""hl"">서울국제빵</strong>·<strong class=""hl"">과자\xa0페스티벌</strong>\xa0제과부분에서\xa0전원\xa0수상하였다고\xa029일\xa0밝혔다. 이번대회에는...</dd>]', '[<dd>대구공업대학교 호텔외식조리계열이 제14회 <strong class=""hl"">서울국제빵</strong>·<strong class=""hl"">과자페스티벌</strong> 학생라이브케이크 부문에서 장관상을 비롯해 전원 수상했다. \xa0대구공업대학교(총장 이별나) 호텔외식조리계열이 20일부터 23일까지 열린 \'제14회...</dd>]', '[]', '[]', '[<dd><strong class=""hl"">서울국제빵과자페스티벌</strong>은 1983년부터 2019년까지 30년이 넘도록 지속되어 온 국내유일의 제과제빵 전문 전시회이다. 국내 최대의 제과제빵 및 식음료관련 전시회로 국내외 권위 있는 외식업체가 직접 참여하고 후원하며...</dd>]', '[<dd>갑자기 추워진 날씨에 달콤한 디저트와 따뜻한 차 한 잔이 간절해지기도 하는데요, 최근 제과 제빵의 트렌드와 최고급 디저트를 소개할 <strong class=""hl"">서울국제빵 과자페스티벌</strong>이 서울 코엑스에서 펼쳐졌습니다. 다양한 제과 제품들과...</dd>]', '[<dd><strong class=""hl"">서울국제빵과자페스티벌</strong>은 1983년부터 2019년까지 30년이 넘도록 지속되어 온 국내유일의 제과제빵 전문 전시회이다. 국내 최대의 제과제빵 및 식음료관련 전시회로 국내외 권위 있는 외식업체가 직접 참여하고...</dd>]', '[<dd>19일 코엑스 측에 따르면 올해로 19회를 맞이한 <strong class=""hl"">서울국제빵</strong>·<strong class=""hl"">과자페스티벌</strong>은 국내 유일의 제과제빵 전문전시회로 빵, 과자, 케이크뿐만 아니라 제과제빵용 기계, 재료 포장 등 관련 산업의 모든 아이템을 선보인다....</dd>]', '[<dd>올해로 19회를 맞이한 <strong class=""hl"">서울국제빵</strong>·<strong class=""hl"">과자페스티벌</strong>은 국내 유일의 제과제빵 전문전시회로 빵, 과자, 케이크뿐만 아니라 제과제빵용 기계, 재료 포장 등 관련 산업의 모든 아이템을 선보인다. 2019.11.20</dd>]']"
0,아르헨티나페스티발,"['[]', '[<dd>18일(현지시간) 오후 프랑스 칸 팔레 드 <strong class=""hl"">페스티발</strong>에서 \'제 72회 칸 국제영화제\'(Cannes Film Festival) ‘투 올드 투 다이 영’ 레드카펫 행사가 진행됐다. 임신중절합법화에 찬성하는 지지자들이 <strong class=""hl"">아르헨티나</strong> 임신중지...</dd>]', '[<dd>현지 6천명에 가까운 한인들이 살고 있으며, 이는 중남미 전체에서 브라질, <strong class=""hl"">아르헨티나</strong>, 멕시코에 이어... K-Pop <strong class=""hl"">페스티발</strong>과 한국영화 상영회를 열 계획입니다. 7월엔 우리 유명 국악단을 초청할 예정이며, 9월에 열리는...</dd>]', '[<dd>모드리치가 25일 오전 2시30분(한국시각) 영국 런던 로얄 <strong class=""hl"">페스티발</strong> 홀에서 펼쳐진 ‘FIFA 더 베스트 풋볼... 리오넬 메시(<strong class=""hl"">아르헨티나</strong> 주장)는 모드리치를 1순위로 꼽았다. 접전 끝에 모드리치는 이번에도 호날두...</dd>]', '[]', '[<dd>또 9월에는 <strong class=""hl"">아르헨티나</strong> 북쪽 미션(Mission) 포사다스(Posadas) 도시에서 국제 음악 <strong class=""hl"">페스티발</strong>(약 1000명 청소년) 초청으로 지휘하게 된다. 이어 10월엔 칠레 북쪽\xa0 오바예 도시에서 지휘 마스터클래스 교수로...</dd>]', '[<dd>2015년 준비 성격인 프레 <strong class=""hl"">페스티발</strong> 행사를 2016년 첫 회 연 충무로뮤지컬영화제는 접합이 쉽지 않은 영화와... 말아요 <strong class=""hl"">아르헨티나</strong>\' 에바 페론이 나오는 뮤지컬의 할리우드 버전 &lt;애비타&gt;, 라스 폰 트리에 감독의 &lt;어둠 속의...</dd>]', '[<dd>FIFA는 지난\xa025일\xa0영국 런던 로얄 <strong class=""hl"">페스티발</strong> 홀에서 더 베스트 풋볼 어워즈 2018을 개최했다. 가장 관심을... 앞서 <strong class=""hl"">아르헨티나</strong>의 주장인 메시가 올해의 선수상 투표에서 처음으로 호날두에게 표를 던져 화제가 됐다....</dd>]', '[<dd>◆라틴 푸드 페스티벌 가주 최대 규모의 히스패닉 푸드 <strong class=""hl"">페스티발</strong>이 18일(토)까지 엠바카데로 마리나 파크 노스에서 열린다. 올해 6회를 맞이하는 이 행사는 멕시코, <strong class=""hl"">아르헨티나</strong>, 칠레, 나파, 포르투갈, 스페인...</dd>]', '[<dd>그는 <strong class=""hl"">아르헨티나</strong> 출신의 여성화가 ‘레오노르 피니’(Leonor Fini. 1908~1996)의 삶을 노래한 ‘레오노르’... 산조 <strong class=""hl"">페스티발</strong>이 있었다. 시타 최는 공연에서 ‘산조와 재즈의 만남’을 통하여 동양의 전통과 서양의...</dd>]']"
0,한강홀릭,"['[]', '[<dd><strong class=""hl"">한강</strong>에서 최근 일상샷 \'시선강탈\' 정준의 소개팅녀로 방송에서 뜨겁게 핫이슈로 등극했던 김유지가 정준과... 송유지라는 예명으로 배우로 활동했다.2017년 종영한 MBC \'역도요정 김복주\'로 데뷔해 OCN \'멜로 <strong class=""hl"">홀릭</strong>\' 등에...</dd>]', '[<dd>VAV는 지난 18일 오후 서울 반포<strong class=""hl"">한강</strong>공원에 위치한 세빛섬 예빛무대에서 5th 미니앨범 \'포이즌(POISON)\' 컴백 기념 스페셜 버스킹을 개최했다. 이날 컴백에 임박한 VAV의 무대를 보고자 많은 팬들이 모였으며, 반포<strong class=""hl"">한강</strong>공...</dd>]', '[<dd>만명(<strong class=""hl"">한강</strong> 25만, 도심 5만)의 관람객들로 성황을 이루며 지난 29일 구리역 광장에서 대단원의 막을 내렸다. 이번 축제는 지난달 27일부터 29일까지 3일간에 걸쳐 코스모스는 <strong class=""hl"">한강</strong>에서, 축제는 갈매 애비뉴 앞 분수대...</dd>]', '[<dd>하차하거나 <strong class=""hl"">한강</strong>대교 보행길을 따라 10~15분 정도 걸으면 진입 가능하다. 이촌나루, 여의나루 등에서 수상택시를 이용할 수도 있다. EDITOR 김명희 기자 세상 모든 워커<strong class=""hl"">홀릭</strong>을 위한 노래 #TwoFive인기 여성 듀오...</dd>]', '[<dd>[3] <strong class=""hl"">한강</strong>지류 산책길을 걷다 미친 듯이 달려온 개한테 물렸던 재수 없는 경험을 가진 남자 C 씨는 키아누 리브스가 킬러로 나오는 영화 ‘존 윅’의 세 번째 시리즈 ‘존 윅 3: 파라벨 룸’(6월 개봉)을 보고 짐승처럼...</dd>]', '[<dd>안방극장을 <strong class=""hl"">홀릭</strong>시켰다. 지난 13일 밤 10시 방송된 TV CHOSUN 예능 프로그램 \'세상 어디에도 없는, 아내의 맛... 두 사람은 <strong class=""hl"">한강</strong> 뷰 집으로 돌아와 본격 셀프 인테리어를 시작했다. 제이쓴은 현관 옆 벽에 페인트를 칠하기 위해...</dd>]', '[]', '[]', '[]']"
0,그랜드케이팝페스티벌,"['[]', '[<dd>인터콘티넨탈호텔 <strong class=""hl"">그랜드</strong>볼룸에서 기자회견을 진행했다. 팀 킴 대표는 ""<strong class=""hl"">케이팝</strong>의 경쟁력은 나날이... 있는 <strong class=""hl"">페스티벌</strong>을 만든다는 계획이다. \'KAMP\'는 본무대인 \'KAMP Stage\'와 \'KAMP Grounds(캠프 그라운즈)\'로 구성되어...</dd>]', '[]', '[]', '[<dd>호텔 <strong class=""hl"">그랜드</strong>볼룸에서 열린 가운데, 주최사 AMP LIVE 팀 킴 대표가 참석해 이같이 말했다. 팀 킴 대표는... 이어 ""<strong class=""hl"">케이팝</strong>의 <strong class=""hl"">페스티벌</strong> 형태는 현재까지 보지 못했다고 생각한다. 전세계에 많은 <strong class=""hl"">페스티벌</strong>이 존재하지만 \'캠프...</dd>]', '[]', '[<dd>인터파크티켓 콘서트 순위에서 코요태 앞에는 \'창원 <strong class=""hl"">케이팝 페스티벌</strong>\' \'<strong class=""hl"">그랜드</strong>민드 <strong class=""hl"">페스티벌</strong>\'이 뒤로는 \'자라섬재즈<strong class=""hl"">페스티벌</strong>\'과 \'렛츠락 <strong class=""hl"">페스티벌</strong>\'이 위치해 있다. \'코요태 20th 이즈백\'은 코요태의 데뷔 20주년을...</dd>]', '[<dd>뷰어스 싱가포르= 8일 오후 4시 싱가포르 인터컨티넨탈 호텔 <strong class=""hl"">그랜드</strong>볼륨에서 열린 ‘KAMP SIGAPORE 2019’... 팀 킴 대표는 첫 회에 방탄소년단치 참여하지 않았는데 글로벌 대표 <strong class=""hl"">케이팝 페스티벌</strong>이 될 수 있냐는 질문에...</dd>]', '[<dd>이수만 총괄 프로듀서는 지난 5일 대구 <strong class=""hl"">그랜드</strong> 호텔에서 열린 2019 한국문화산업포럼 연단에 올라 ""1997년 해외... 특히 이번 2019 한국문화산업포럼이 대구국제뮤지컬<strong class=""hl"">페스티벌</strong>(DIMF)의 초청으로 이뤄진 만큼 이수만 총괄...</dd>]', '[<dd>음악매체 &lt;빌보드&gt;에서 <strong class=""hl"">케이팝</strong> 칼럼니스트로 활동하는 제프 벤자민은 2일 서울 한남동 <strong class=""hl"">그랜드</strong>하얏트서울호... 블랙핑크가 미국 코첼라 <strong class=""hl"">페스티벌</strong>에서 한 공연은 대단했어요. 앞으로 존재감이 더 커질 거예요. 있지(ITZY)...</dd>]']"
0,서리풀페스티벌,"['[]', '[<dd>이와 관련, 전희경 한국당 대변인은 전날 페이스북에 서초구청에서 <strong class=""hl"">서리풀페스티벌</strong>로 인해 촛불집회 참가자와 축제 참가자가 구분되지 않고 있다는 내용의 알림글을 게시하면서 ""대한민국에 정신나간 이들이 그리 많을...</dd>]', '[]', '[<dd>나중에 알고 보니 서초구 주최 ‘<strong class=""hl"">서리풀페스티벌</strong>\'의 폐막 행사로 열린 방송인 박명수의 ‘이디엠(EDM) 판타지’였습니다. 검찰 개혁을 요구하는 국민들의 함성 위로 터져오르는 불꽃놀이라니 기막힌 우연이요, 절묘한...</dd>]', '[<dd>서울 서초구(구청장 조은희)는 28일 반포대로에서 <strong class=""hl"">서리풀페스티벌</strong>의 대미를 장식할 1000명의 오케스트라, 한불음악축제, 일렉트로닉 댄스뮤직(EDM)파티 등의 폐막행사를 연다고 26일 밝혔다. 28일 오후 2시 1000명의...</dd>]', '[]', '[]', '[<dd>서초구는 28일 오후 2시부터 9시 30분까지 이어진 <strong class=""hl"">서리풀 페스티벌</strong>에 10만 명 가량이 참석했다고 추산했다. 이날 서리풀 페스티발 폐막행사가 열렸었다. 지난 21일 개막 이후 8일간 23개 프로그램 250여개 공연에서 총...</dd>]', '[<dd>서초구가 주최하고 서초문화재단이 주관하는 \'<strong class=""hl"">서리풀 페스티벌</strong>\'이 지난 21일부터 28일까지 흥미로운 프로그램들로 구민들과 함께 했다. 구민들이 직접 꾸미는 무대와 프로그램들은 서초구민뿐 아니라\xa0많은 시민들의...</dd>]', '[<dd>서울 서초구청은 ""어제 오후 2시부터 10시까지 서초역부터 서초3동 사거리까지 1km 구간에서 \'<strong class=""hl"">서리풀페스티벌</strong> 폐막 행사\'에 10만여 명이 참석했다""고 추산했습니다. 비슷한 시간대에 열린 제7차검찰개혁 촛불문화제는...</dd>]']"
0,대학로문화축제(SUAF),"['[]', '[<dd><strong class=""hl"">축제</strong> \'제16회 <strong class=""hl"">대학로문화축제</strong> <strong class=""hl"">SUAF</strong>(Seoul University-Avenue Festival)\'를 연다. <strong class=""hl"">축제</strong>는 23~ 24일 이틀간 마로니에 공원과 공원 인근 도로, <strong class=""hl"">대학로</strong> 일대에서 열린다. 2002년 1회를 시작으로 올해 16회째를 맞는 \'제16회...</dd>]', '[]', '[]', '[]', '[<dd>[<strong class=""hl"">문화</strong>뉴스 MHN 이현지 기자] 23일 오후 서울 종로구 <strong class=""hl"">대학로</strong>일대에서 \'16회 <strong class=""hl"">대학로문화축제</strong> <strong class=""hl"">SUAF</strong>\'가 열렸다. 이날 미디어후원사 <strong class=""hl"">문화</strong>뉴스 MHN 부스에서 시민들이\xa0캘리그라피\xa0행사에 참여하고 있다. \'제16회...</dd>]', '[]', '[]', '[]', '[]']"
0,궁중과사대부가의전통음식축제,"['[]', '[<dd>11일 서울 종로구 운현궁에서 열린 \'<strong class=""hl"">궁중과 사대부가의 전통음식축제</strong>\'에서 시민들이 1400년대부터 1900년대까지의 고조리서 속의 <strong class=""hl"">음식</strong>을 보고 있다. <strong class=""hl"">축제</strong>를 통해 옛날 책에 기록된 <strong class=""hl"">궁중</strong> <strong class=""hl"">음식</strong>과 1400년대부터...</dd>]', '[]', '[]', '[]', '[]', '[<dd>서울 종로구(구청장 김영종)는 11~12일 운현궁(삼일대로 464)에서 우리의 소중한 한식문화를 널리 알리고 보존·계승하기 위해 \'<strong class=""hl"">궁중과 사대부가의 전통음식축제</strong>\'를 개최한다고 7일 밝혔다. 2004년 시작돼 올해로 13회째를...</dd>]', '[]', '[]', '[]']"
0,ARKO한국창작음악제(국악부문),"['[]', '[<dd><strong class=""hl"">한국</strong>의 <strong class=""hl"">창작</strong>관현악의 산실 역할을 해오고 있다. 양악에서 <strong class=""hl"">국악</strong>을 망라한 대한민국 대표 <strong class=""hl"">창작음악제</strong>로 자리잡아 가고 있다. 또한 2020년 2월에는 제11회 <strong class=""hl"">ARKO한국창작음악제</strong> 양악<strong class=""hl"">부문</strong> 연주회가...</dd>]', '[]', '[]', '[<dd>\xa0<strong class=""hl"">한국</strong>문화예술위원회(위원장 박종관, 이하<strong class=""hl"">ARKO</strong>)와 <strong class=""hl"">한국창작음악제</strong>추진위원회(위원장 이건용, 이하 아.창.제)가 주최하는 대한민국의 대표적인 <strong class=""hl"">창작음악제</strong>인 <strong class=""hl"">ARKO한국창작음악제</strong> <strong class=""hl"">국악부문</strong> 연주회가 2019년 11월 15일(금)...</dd>]', '[]', '[]', '[]', '[<dd><strong class=""hl"">한국</strong>문화예술위원회(<strong class=""hl"">ARKO</strong>)와 <strong class=""hl"">한국창작음악제</strong>추진위원회가 주최하는 <strong class=""hl"">창작음악제</strong>인 \'<strong class=""hl"">ARKO한국창작음악제</strong> <strong class=""hl"">국악부문</strong> 연주회(이하 \'아창제\')\'가 오늘 17일 예술의전당 콘서트홀에서 개최될 예정이다. 이날 개최되는 제10회...</dd>]', '[]']"
0,대종상영화제(DaejongFilmFestival),"['[]', '[]', '[]', '[]', '[]', '[]', '[]', '[]', '[]', '[]']"
0,아트에디션,"['[]', '[<dd>주류유통전문기업 신세계 L&amp;B가 세 화백과 협업으로 ‘<strong class=""hl"">아트</strong> 앤 와인’ 프로젝트 와인 3종을 한정 수량으로 선보인 것. 이른바 한정판 <strong class=""hl"">에디션</strong>이었다. 당시 신세계 L&amp;B는 “각 화백의 작품과 잘 맞아떨어지는 와인을 고르기...</dd>]', '[<dd>최근 신라호텔 브랜드 파티에서 선보인 <strong class=""hl"">아트</strong>베딩 \'트라페즈 <strong class=""hl"">에디션</strong> 로열 네이비\'는 프라노 <strong class=""hl"">아트</strong>의 대가 박명선 아티스트와의 환상적인 콜라보를 통해 세상에 처음 선보여졌으며, 국내 최대 미술품 경매사 서울옥션의...</dd>]', '[<dd>▶▶ 이번 출품된 \'판타스마고릭 <strong class=""hl"">에디션</strong>1\'이 꽤 높은 가격에 팔렸다던데? ▷▷ 독일의 저명한 <strong class=""hl"">아트</strong>컬렉터인 \'히트임모빌리엔(hit-immobilien)\' 그룹에서 제 작품을 7만 유로(약 9천만 원)에 구입했어요. 사진 작업은 <strong class=""hl"">에디션</strong>...</dd>]', '[<dd>창작의 경험을 나누는 아이디어의 공간, ‘언리미티드 <strong class=""hl"">에디션</strong> 11 서울<strong class=""hl"">아트</strong>북페어 2019’에 다녀왔다. 풍부하게 준비된 즐길 거리 언리미티드 <strong class=""hl"">에디션</strong> 11 서울<strong class=""hl"">아트</strong>북페어 2019는 지난달 15일부터 17일까지 서울시립...</dd>]', '[<dd>2019AW <strong class=""hl"">에디션</strong>은 코리아(KOREA)”라고 27일 밝혔다. 유명 공간 디자이너 안나 번스(Anna Burns)가 한국의... 코이버드는 독창적이고 아방가르드한 스타일의 K-패션부터 K-뷰티, <strong class=""hl"">아트</strong>, 라이프스타일 등 다양한...</dd>]', '[<dd>특히 전시 프로그램의 일환으로 진행되는 \'주제관\' 코너에서 4인의 공동 <strong class=""hl"">아트</strong> 디렉터들이 협업해 관람객들에게 다채로운 공간을 선보인다. \'서울<strong class=""hl"">에디션</strong>(Seoul Edition)\'을 주제로 디자이너 소동호가 총괄기획하고...</dd>]', '[<dd>［메디컬투데이 김준수 기자］ 롯데칠성음료가 롯데뮤지엄에서 열리는 스누피 달착륙 50주년 기념 특별 전시 ‘투 더 문 위드 스누피(To the Moon with Snoopy)’와 연계한 ‘데일리C <strong class=""hl"">아트</strong>워터 스누피 <strong class=""hl"">에디션</strong>’을...</dd>]', '[]', '[]']"
