,축제명,축제주요내용
55,사랑-인도문화축제 ,"['밀레니엄', '힐', '서울', '올', '올데이다이닝', '데이', '다이', '닝', '뷔페', '레스토랑', '카페', '395', '주한', '인도', '대사관', '인도문화', '문화', '원', '주최', '사랑', '인도문화축제', '축제', '의', '일환', '15', '15일', '일', '저녁', '21', '21일', '라자', '라자스탄', '스탄', '지역', '전통', '음식', '요리', '특집', '남산', '밀레니엄힐', '원의', '연례', '연례행사', '행사', '올해', '마', '마하트마', '하트', '간디', '탄생일', '2', '2일', '부산', '인천', '대구', '광주', '등', '다수', '도시', '남이섬', '그', '11', '11월', '월', '금', '목']"
56,서울국제작가축제(2019 Seoul International Writers Festival) ,[]
57,도심속 바다축제 ,"['일', '수산물', '저', '7', '7회', '회', '도', '도심', '심', '속', '바다', '바다축제', '축제', '의', '시작', '경매', '소리', '경매장', '앞', '관광객', '마음', '참가', '나눔', '실천', '물', '서울', '동작', '동작구', '구', '12', '13', '13일', '노량진', '수산', '수산시장', '시장', '일대', '개최', '8', '8일', '일', '특성', '활용', '방문객', '거리', '제공', '판매', '실내', '실내체육관', '체육관', '도심속', '노량진수산시장', '제주', '제주마', '마', '제주', '제주시', '시', '렛츠', '렛츠런파크제주', '런', '파크', '용마', '용마폭포', '폭포', '문화', '문화예술', '예술', '중랑', '중랑구', '용마폭포공원', '공원', '2019', '1', '1박2일', '박', '2', '거제', '거제섬꽃', '섬', '꽃', '평화', '주제', '10', '10월', '월', '26', '26일', '11', '11월', '3', '3일', '목장', '목장나들이', '나들이', '미래', '식량', '산업', '누에', '곤충', '곤충체험', '체험', '우리밀', '놀이터', '등', '참여', '참여형', '형', '이벤트', '자치구', '가을', '테마', '테마형', '종합', '종합선물형', '선물', '문화교육형', '교육', '다양', '관악', '강감찬', '마포', '새우젓', '동작', '강남', '강남페스티벌', '페스티벌', '구로', '구로구', '지', '지페스티벌', '종합선물', '거제', '거제시', '거제시농업개발원', '농업', '개발원']"
58,강동선사문화축제 ,"['형태', '축제', '의', '문', '날', '전반', '전반부인', '부인', '오후', '2', '2시', '시', '4', '4시', '지역', '기반', '활동', '청년', '청년예술인', '예술인', '거리', '선사', '예정', '이정', '이정훈', '훈', '강', '강동', '동', '구청장', '올해', '우리', '생활', '문화', '활성화', '지원', '조례', '제정', '서울', '동쪽', '끝자락', '위치', '암사', '암사동', '동', '은', '유적지', '로', '서울시', '진행', '선사문화축제', '확대', '업', '업코리아', '코리아', '행복', '빛', '3', '3일', '일', '저', '24', '24회', '회', '강동', '강동선사문화축제', '성황리', '유적', '일대', '11', '11일', '막']"
59,서울 보드게임 페스타 ,"['저', '11', '11회', '회', '서울', '서울보드게임페', '보드', '게임', '페', '스타', '개최', '이', '이번', '번', '행사', '놀이', '놀이속', '속', '세상', '젬블', '코리아', '코리아보드게임즈', '즈', '행복', '오', '오밥', '밥', '만두', '만두게임즈', '조', '매직', '보드엠', '엠', '게임올', '올', '지', '브레인', '브레인티저스', '티', '저스', '미', '미미월드', '월드', '공간', '공간27', '27', '조이', '조이엔조이', '엔조이', '게임조선', '조선', '촬영', '서울시', '후원', '서울산업진흥원', '산업', '진흥원', '한국', '한국보드게임산업', '협회', '공동', '공동주관', '주관', '국내', '최대', '보드게임', '체험', '박람회', '12', '13', '13일', '일', '양일간', '텍', '은', '서울보드게임', '페스타', '서울무역전시컨벤션', '무역', '전시', '컨벤션', '센터', '1', '3', '전시실', '이번', '사', '금일', '12일', '가족', '문화', '문화이자', '이자', '교육', '콘텐츠', '모바일', '모두', '마블', '할로윈', '기념', '축제', '큐브', '로', '캐릭터', '제공', '21', '21일', '한빛', '한빛소프트', '소프트', '다음달', '1일', '3일', '순천만', '생태', '생태문화교육원', '교육원', '일대', '지투', '투', '배']"
60,이태원 지구촌축제 ,"['13', '13일', '일', '서울', '용산', '용산구', '구', '2019', '이태원', '지구촌', '축제', '현장', '외국인', '한우', '캐릭터', '팔씨름', '대결', '사진', '한', '한우자조금관리', '우자', '조금', '관리', '위원회', '조금관리위원회', '12', '이태원관광특구', '관광', '특구', '일대', '열린', '돼지고기', '비리', '비리지도', '지도', '토치', '터키', '밥', '밥부스', '부스', '4', '4군데', '군데', '본적', '패스', '-2019', '10', '19', '지구촌축제', '포토', '조', '조수호', '수호', '위원장', '0', '경천', '012', '012일', '013', '013일', '0양일간', '양일간', '0이태원', '0관광특구', '0일대', '0열린', '0지구촌', '0축제', '0참여', '참여', '0한우', '우', '0활', '활', '0이벤트', '이벤트', '전국', '1300', '1300여개', '여', '개', '중', '핫', '명품', '구청장', '성장', '성장현', '현', '관광특구', '연', '한국', '전통문화', '외국', '문화', '결합', '거리']"
61,한양도성문화제 ,"['0', '0서울시', '서울시', '12', '12일', '일', '13', '13일', '흥', '문', '공원', '낙산', '낙산공원', '등지', '저', '7', '7회', '회', '한양', '성', '성문화제', '문화제', '개최', '4', '4일', '2013', '2013년', '년', '시작', '올해', '회', '주제', '도성', '역사', '자연', '사람', '다', '18.6', '총', '총15개', '15', '개', '지점', '순', '순성관', '성관', '과', '미션', '순성', '시민', '시민기획단', '기획단', '직접', '기획', '단절', '단절구간', '구간', '프로젝트', '등', '축제', '이틀간', '주', '행사장', '시사', '시사매거진', '매거진', '하명', '하명남', '남', '기자', '서울', '서울특별', '서울특별시', '특별시', '시', '시장', '박원', '박원순', '토', '일', '흥인', '흥인지문공원', '지문', '중심', '일원']"
62,서울아리랑페스티벌 ,"['11', '11일', '일', '서울', '종로', '종로구', '구', '광화문', '광화문광장', '광장', '서울시', '서울아리랑페스티벌', '아리랑', '페스티벌', '조직', '조직위원회', '위원회', '주최', '2019', '개막식', '동락', '동락연희단', '연희', '단', '사물놀이', '공연', '2019.10', '사진', '0', '0서울특별시', '특별시', '위원장', '윤', '윤영달', '영달', '오후', '7', '7시', '시', '을', '개막', '13', '13일', '주재', '주재연', '연', '예술', '예술감독', '감독']"
63,자문밖문화축제 ,"['한류', '한류힙합', '힙합', '문화', '발전', '공로', '공로상', '상', '정근', '대통령', '대통령직속', '직속', '정책', '정책기획위원회', '기획', '위원회', '자문', '위원', '민주당', '서울', '서초', '가수', '겸', '배우', '양동', '양동근', '근', '문화축제', '축제', '대상', '특별', '특별대상', '수상', '사진', '조직', '조직위원회', '제공', '창의', '창의문', '문', '바깥', '지역', '주민', '예술인', '자문밖문화축제', '밖', '11', '11일', '일', '사흘간', '자문밖문화', '포럼', '이사장', '순종', '서울대', '명예', '명예교수', '교수', '주최', '7', '7회', '회', '이번', '종로', '종로구', '구', '구기', '구기동', '동', '신영', '신영동', '부암', '부암동', '평창', '평창동', '홍지', '홍지동', '일대', '지역민', '민', '예술', '자문밖', '은', '자하문', '의미', '오후', '정아', '갤러리', '디', '디앙상블', '앙상블', '공연', '진행', '진행중이', '중이', '왼쪽', '박', '원', '바이올린', '효', '효선', '선', '이', '수영', '비올라', '조', '조여진', '여진', '첼로', '김진희', '피아노', '정아갤러리']"
64,서울무형문화축제 ,"['한인', '문화', '문화축제', '축제', '코로나', '히', '히스토릭', '스토릭', '시', '시빅', '빅', '센터', '극장', '815', '6', '개최', '프로그램', '극단', '어울림', '퓨', '퓨전', '전', '심청', '공연', '지', '지윤자', '윤', '자', '무형', '무형문화', '재의', '가야금', '연주', '대금', '이병', '피아노', '이동률', '수원', '스포츠', '서울', '승', '승훈', '훈', '기자', '경기', '경기도', '도', '다음달', '6일', '일', '8', '8일', '천년', '자랑', '전통', '주제', '부천', '부천시', '시', '오정', '오정아트홀', '아트', '홀', '인간', '재', '대', '25', '25일', '도', '도가', '주최', '사', '경기', '총', '총연', '연', '11', '12', '12일', '남산골', '남산골한옥마을', '한옥', '마을', '남산', '남산국악', '국악', '의', '다양', '체험', '서울무형문화축제', '7', '7일', '도심', '한복판', '2019', '올해', '조선', '시대', '최대', '연희', '행사', '산대', '산대나례', '나례', '행진', '식전', '남사당', '남사당놀이', '놀이']"
65,가락몰 페스티벌 ,"['서울시', '서울시농수산식품공사', '농수산', '식품', '공사', '사장', '김경호', '오', '11', '12', '12일', '일', '양일간', '2019', '가락', '가락시장', '시장', '가락몰', '몰', '페스티벌', '을', '개최', '의', '주', '무대', '지하철', '3', '8', '8호선', '호', '선', '가락시장역', '역', '부근', '설치', '이하', '10', '10월', '월', '11일', '금', '토', '이틀간', '명소', '2016', '2016년도', '년도', '열린', '2019년', '년', '유통', '유통인과', '인과', '시민', '대상', '청렴', '청렴문화', '문화', '확산', '행사', '이날']"
66,궁중과 사대부가의 전통음식축제 ,"['11', '11일', '일', '서울', '종로', '종로구', '구', '운', '운현궁', '현궁', '열린', '궁', '궁중과', '중과', '사대부가', '전통', '전통음식축제', '음식', '축제', '시민', '1400', '1400년대', '년대', '1900', '1900년대', '조리', '속의', '을', '옛날', '책', '기록', '궁중', '중', '과', '구청장', '김', '김영종', '영종', '12', '12일', '삼일', '464', '우리', '한식', '한식문화', '문화', '보존', '계승', '개최', '7', '7일', '2004', '2004년', '년', '시작', '올해', '13', '13회', '회']"
67,서울분장페스티벌 ,"['서울', '강서', '강서구', '강서구등촌동', '구', '등촌', '등촌동', '동', '스포츠', '스포츠월드', '월드', '국내', '국내최대규모', '최대', '규모', '미용', '미용종합대회', '종합', '대회', '뷰티', '뷰티킹', '킹', '메이크업', '페스티', '대표', '특수', '분장', '사', '최', '최주형', '주형', '영화', '아가씨', '부산', '부산행', '행', '신', '팀', '팀장', '등', '한국', '뷰티산업', '산업', '서울축제', '축제', '버전', '할로윈', '파티', '수', '서울분장페스티벌', '페스티벌', '이', '선사', '선사문화축제', '문화', '일환', '마련', '이번', '평소', '모습', '거리', '활보', '기회', '아이', '뮤직', '로', '메인', '스테이지', '외', '공포', '공포체험', '체험', '초대형', '서커스', '텐트', '체험형', '형', '아트', '공연', '올해', '처음', '25', '25일', '일', '26', '26일', '경기', '경기도', '도', '과', '과천', '천', '랜드', '카드', '건강', '장면', '제공', '계룡', '계룡시청', '시청', '기운', '기자', '계룡시', '시', '19', '토', '일', '오전', '9', '9시30분', '시', '30', '분', '염', '음식', '음식체험', '다양', '문화체험', '부스', '예정', '16', '16개', '개', '참가', '당신', '핼러윈', '전문', '숍', '정보', '2019', '나', '잇', '반', '반얀트리', '얀', '트리', '클럽', '앤', '스파', '의', '페스타', '010', '010월', '월', '19일', '저녁', '8', '8시', '새벽', '2', '2시', '개최', '저', '24', '24회', '회', '강동', '선사문화', '서울시', '강동구', '12', '12일', '분장페스티벌', '퍼레이드', '올림픽', '암사', '암사역', '역', '선사초등학교', '초등학교', '일대', '10', '10월']"
68,서울약령시 보제원 한방문화축제 ,"['11', '11일', '일', '서울', '동대문', '동대문구', '구', '제기', '제기동', '동', '일대', '개막', '저', '25', '25회', '회', '서울약령시', '약령시', '보제', '보제원', '원', '한방', '한방문화축제', '문화', '축제', '시민', '행사장', '맛', '치유', '치유하다', '하다', '주제', '이번', '다양', '방', '체험', '체험행사', '행사', '이벤트', '12', '12일', '이틀', '동안', '사진', '제공', '0', '0동대문구', '구청장', '유덕', '유덕열', '열', '개최', '사단', '사단법인', '법인']"
69,구로청소년축제 ,"['청소년', '극장', '축제', '별', '밤', '23', '23일', '일', '구', '아트', '아트밸리예술극장', '밸리', '예술', '개최', '들', '기획', '연출', '홍보', '등', '행사', '전반', '주도', '1', '2', '2부', '부', '오후', '3', '3시', '시', '7', '7시', '시작', '20', '20개', '개', '팀', '200', '200여명의', '여', '명의', '이', '댄스', '12', '12일', '구로', '구로청소년축제', '구로중앙', '중앙', '날', '양천', '양천네트워크', '네트워크', '마을', '사회적', '사회적경제', '경제', '복지', '가을', '가을한마당', '한마당', '과', '양천공원', '공원', '진행', '등', '종로', '종로구', '구', '캠페인', '포함', '6', '6곳', '곳', '총', '3090', '3090여명의', '시민', '서울', '청소년축제', '구', '중학교', '일대', '이성', '구로구청장', '구청장', '인사말', '구로', '구로구', '머리', '고민', '직접', '4', '4회', '회', '오늘', '오늘만큼', '만큼']"
70,서울 드론 챌린지 2019 (Seoul Drone Challenge 2,[]
71,북한산 韓문화 페스티벌 ,"['북한산', '문화', '문화페스티벌', '페스티벌', '오', '10', '10월', '월', '9', '9일개최', '일', '개최', '은평', '은평구', '구', '대표', '가을', '가을문화축제', '축제', '2019', '이', '한글', '한글날인', '날인', '9일', '수요일', '오전', '10시', '시', '오후', '7', '7시', '북한', '북한산성', '산성', '제', '제2주차장', '2', '주차장', '이전', '당초', '자연', '역사', '조화', '구의', '문화체험특구', '체험', '특구', '배경', '기획', '은', '올해', '9회', '회', '구', '가을축제', '한류', '한류문화', '수', '체험부스', '부스', '축하', '축하공연', '공연', '서울', '구청장', '김', '김미경', '미경', '저', '13', '13호', '호', '태풍', '링', '링링', '의', '북상', '축제인', '인', '잠정', '연기', '4', '4일', '6', '6일', '예정', '열린', '열린음악회', '음악회', '기존', '진행']"
72,한글가족축제 ,"['닷새', '닷새간의', '간의', '축제', '24', '24일', '일', '폐막', '이', '이번', '번', '영화제', '다양', '프로그램', '관객', '23', '23일', '주말', '어린이', '가족', '한글', '자막', '단편', '애니메이션', '섹션', '화면', '화면해설', '해설', '라이브', '다문화', '배려', '무성의', '진행', '행사', '전', '전북', '북', '익산', '포착', '익산', '익산시', '시', '과', '접수', '데', '미얀마', '필리핀', '베트남', '우', '우즈벡', '즈벡', '등', '김해', '김해시', '19', '19일', '시청', '관', '카페', '마음', '글', '표현', '백일', '백일장', '장', '시상식', '지원', '지원센터', '센터', '씨', '차지', '이형', '이형원', '원', '김해시평생학습', '평생', '학습', '운영', '운영위원장', '위원장', '어르신', '인생', '한국', '사회', '한글과', '한글과컴퓨터', '컴퓨터', '이하', '한컴', '대표', '변성', '한글날인', '날인', '9', '9일', '서울', '용산', '용산구', '구', '국립', '글박물관', '박물관', '2019', '2019년', '년', '한글가족축제', '참가', '디지털', '디지털화', '화', '역사', '전시', '전시ㆍ체험', 'ㆍ', '체험']"
73,한글문화큰잔치 ,"['박', '박양우', '양', '우', '왼쪽', '번째', '문화', '문화체육관광부', '체육', '관광', '부', '장관', '저', '573', '573돌', '돌', '한글날', '하루', '8', '8일', '일', '서울', '종로', '종로구', '구', '광화문', '광화문광장', '광장', '특설', '특설무대', '무대', '한글', '한글문화', '잔치', '전야제', '세종', '세종문화상', '문화상', '시상', '후', '수상자', '기념', '기념촬영', '촬영', '주관', '2019', '연계', '경축', '경축식', '식', '전후', '다양', '전시', '체험', '체험프로그램', '프로그램', '예술', '예술행사', '행사', '국민', '우수성', '과학성', '수', '축제', '목표', '식']"
74,도봉한글잔치 ,"['도봉', '도봉구', '구', '9', '9일', '일', '방학', '방학동', '동', '원당', '원당샘', '샘', '공원', '오전', '11', '11시', '시', '도봉', '도봉문화원', '문화원', '주최', '정의', '정의공주', '공주', '저', '8', '8회', '회', '글', '글잔치', '잔치', '개최', '7', '7일', '한글날', '진행', '이번', '행사', '훈민정음', '반포', '제', '제573주년', '573', '주년', '올해', '회', '한글', '창제', '세종', '세종대왕', '대왕', '둘째', '둘째딸', '딸', '남편', '양', '양효공', '효', '공', '안맹담', '서울', '구청장', '이동진', '오', '10', '10월', '월', '해', '해등로32', '등', '로', '32', '길', '16', '사진', '한국', '한국관광공사', '관광', '공사', '2019', '10.09', '서울특별', '서울특별시', '시', '역사', '역사인물', '인물', '1415', '1415년', '년', '1447', '1447년', '조선', '조선시대', '시대', '소', '왕후', '둘', '따님', '문', '문종', '종', '누이', '동생', '동생이자', '이자', '조의', '누나', '제573돌', '돌', '지역', '곳곳', '날', '기념', '이', '가운데', '구', '소리', '소리극', '극', '한글잔치', '백일', '백일장', '장', '다양', '참여', '강', '강혜', '혜', '기자', '취재', '기사', '기사내용', '내용', '사랑', '전시회', '부채', '작가', '옥전', '진', '진말숙', '말숙', '72', '여', '화백', '서울시', '원당공원', '문화', '옥전문화연구원', '연구원', '문화체육관광부와', '체육', '부와', '의미']"
75,한강 서래섬 메밀꽃축제 ,"['6', '6일', '일', '서울', '서초', '서초구', '구', '반포', '강', '강공원', '공원', '서래', '서래섬', '섬', '시민', '2019', '한강', '메밀', '메밀꽃', '꽃', '축제', '5', '5일', '이틀간', '열린', '손수건', '그리기', '리', '피', '엽서', '엽서만들기', '만들기', '페이스', '페인팅', '등', '가족', '무료', '수', '주말', '이용', '근처', '기분', '기분전환', '전환', '이', '주목', '서울시', '주최', '일대']"
76,신촌국제꽃시장 ,"['오늘', '이곳', '꽃', '꽃내음', '내음', '신', '신촌국제꽃', '촌', '국제', '시장', '이', '휴일', '시민', '모습', '시민분', '분', '이야기', '인터뷰', '김희', '김희정', '정', '장하', '장하송', '송', '서울', '이외', '홍', '홍대앞', '대', '앞', '예술', '예술시장', '플리마켓', '연계', '수공예', '작가', '60', '60여팀', '여', '팀', '참여', '플', '리', '마켓', '과', '봄맞이', '행사', '운영', '김', '김원경', '원경', '마케팅', '마케팅부문', '부문', '사업', '사업본부장', '본부장', '전무', '은', '봄', '축제', '시즌', '예매권', '아이언', '아이언맨', '맨', '블루투스', '스피커', '등', '경품', '제공', '이', '다양', '제품', '판매']"
77,서울뮤직페스티벌(SMUF) ,"['매연', '9', '9월', '월', '28', '28일', '일', '10', '10월', '6', '6일', '광화문', '일대', '진행', '서울', '서울뮤직페스티벌', '뮤직', '페스티벌', '이하', '건전', '음악', '유통', '캠페인', '바른', '바른대중음악사', '대중', '음악사', '법', '주제', '이번', '저', '1', '1회', '회', '은', '광화문광장', '광장', '열린', '공간', '글로벌', 'no.', 'no.1', '의', '진수', '6개', '개', '대형', '대형공연', '공연', '을', '레', '레전드', '전드', '커버', '커버댄스', '댄스']"
78,대한민국 나눔대축제 ,"['김', '김장', '장', '나눔', '대', '축제', '그동안', '단체', '돈', '시간', '나', '현호', '기자', '푸른', '잔디', '마당', '물결', '대한', '대한민국', '민국', '정유', '정유석', '석', '견', '견공본가', '공', '본가', '보약', '보약사료브랜드', '사료', '브랜드', '멍', '장군', '지난달', '서울', '잠실', '올림픽', '올림픽공원', '공원', '평화', '광장', '나눔국민', '국민', '운동', '운동본부', '본부', '주최', '나눔대축제', '대축제', '후원', '20', '20일', '일', '10', '10회', '회', '이번', '나눔국민운동본부', '보건', '보건복지부와', '복지', '부와', '사회', '공동', '사회복지', '모금', '모금회가', '회가', '국내', '최대', '문화', '저', '회', '낙', '낙연', '연', '국무총리', '박', '박능후', '능', '후', '보건복지부', '부', '장관', '팝', '팝스타', '스타', '공원소녀', '소녀', '등', '참여', '가운데', '10월5일', '월', '5', '6', '6일', '이틀간', '5일', '오후', '열린', '개막식', '70', '70여', '여', '사회각계', '각계', '내빈', '포함']"
79,노원 탈축제 ,"['등', '등축제', '축제', '탈', '탈축제', '지역', '수준', '주민', '일상', '문화', '생활', '생활체육', '체육', '수', '환경', '350', '350억원', '억', '원', '편성', '미래', '원', '의', '밑그림', '교육', '분야', '학교', '경비', '지원', '350억', '교육분야', '6', '6일', '일', '서울', '노원', '노원구', '구', '일대', '2019', '노', '참가자', '퍼레이드', '일탈', '주제', '전통', '현대', '춤', '음악', '참여', '참여형', '형', '4', '4일', '전야제', '시작', '3', '노해', '550', '550여', '여', '구간', '일', '성대', '막', '개최', '이번']"
80,서울와우북페스티벌 ,"['사', '와우', '와우책문화예술', '책', '문화', '예술', '센터', '대표', '이채', '이채관', '관', '2019', '2019년', '년', '10', '10월', '월', '3', '3일', '일', '목', '6', '6일', '일', '4', '4일', '간', '홍', '홍대주차장거리', '대주', '차장', '거리', '주변', '공간', '저', '15', '15회', '회', '서울', '서울와우북페스티벌', '북', '페스티벌', '을', '진행', '의', '주제', '제', '제15회', '은', '동', '동시대', '시대', '독자', '관심사', '이', '넷', '박', '진', '기자', '강연', '프로그램', '시작', '막이', '중심', '도서', '도서전과', '전과', '야외', '야외행사', '행사', '뉴스', '뉴스토마토', '토마토', '권익', '015', '015회', '회', '홍대', '대', '올해', '시대적', '담론', '다각도', '조명', '포럼', '등', '생각', '수', '사람', '홍대거리', '대거리', '이하', '와우북페스티벌', '리', '사회적', '사회적기업', '기업', '국내', '책축제', '축제', '표방', '2005', '2005년', '다음달', '나흘', '나흘간', '간', '마포', '마포구', '구', '홍익', '홍익대', '앞', '주차장', '주차장거리', '주변공간', '개최', '25', '25일', '이번', '소득', '소득공제', '공제', '가능', '서점', '북페스티벌', '소개', '대한', '대한민국', '대한민국독서대전', '민국', '독서', '대전', '문학', '문학주간', '주간', '파주', '파주북소리', '소리', '문화비', '외', '박물관', '미술관', '공연장']"
81,서울거리예술축제 ,"['지역', '지역주민', '주민', '일상적', '자발적', '문화', '활동', '장려', '삶', '질', '향상', '8', '8월', '월', '서울', '특별', '특별시', '시', '축제', '날', '전반', '전반부인', '부인', '오후', '2', '2시', '시', '4', '4시', '기반', '청년', '예술', '5', '5팀', '팀', '소통', '소원', '소원반디', '반디', '10', '10월', '달', '달간', '간', '진행', '서울거리예술축제', '거리', '6', '6일', '일', '을', '을지로라이트웨이', '지로', '라이트', '웨이', '17', '20', '20일', '여행', '여행페스타', '페', '스타', '18', '로', '구성', '서울문화재단', '재단', '예술후원', '후원', '캠페인', '결과물', '기도', '하다', '이', '교수', '대전', '전당', '공연', '공연자', '자', '돈', '공식', '홈페이지', '관광', '관광명소', '명소', '등', '소개', '정작', '시민', '문화콘텐츠', '콘텐츠', '구축', '강원', '평', '평창과', '창과', '전', '전북', '북', '남', '세상', '마을', '프로젝트', '대표적', '사례', '권', '이사장', '평', '평창', '창', '방림', '방림면', '면', '계촌', '계촌마을', '클래식', '계촌초등학교', '초등학교', '전교생', '31', '31명', '명', '경관', '경관조명', '조명', '미디어', '미디어파사드', '파사드', '특수', '특수조명', '빛', '조형물', '설치', '체험', '제공', '미니', '미니콘서트', '콘서트', '작품', '작품전시회', '전시회', '12', '12월', '4일', '사진', '한국', '한국관광공사', '공사', '새해', '소망', '정성', '수', '0', '0소망트리', '트리', '마련', '이외', '차', '나눔', '크리스마스', '페스티벌', '유럽', '유럽피언', '피', '언', '마켓', '서창', '별빛', '다양', '이번', '010', '010월', '지로라이트웨이', '0여행페스타', '행사', '준비', '부스', '참여로', '01', '01명', '당', '01개', '개', '친', '친환경', '환경', '소형', '소형등', '제작', '05,000', '05,000여개', '여', '개', '완성', '한성', '한성자동차', '자동차']"
82,광나루어울마당 ,"['이날', '광나루', '마당', '과', '2019', '2019년', '년', '녹색', '녹색생활실천', '생활', '실천', '한마당', '이', '이번', '번', '행사', '자전거', '발전기', '솜사탕', '과일', '과일주스', '주스', '태양광', '라디오', '체험', '수', '소비', '에너지', '놀이터', '미니', '미니자동차', '자동차', '광진', '광진구', '구', '5', '5일', '일', '숲', '숲나루', '나루', '천호', '상부', '녹지', '녹지공간', '공간', '저', '9', '9회', '회', '을', '개최', '날', '오후', '01', '01시', '시', '평생', '평생학습동아리', '학습', '동아리', '발표회', '시작', '0', '0광진구', '교육', '교육지원', '지원', '평생교육팀', '팀', '소속', '구청장', '김', '김선갑', '선', '갑', '1', '1시', '시', '광진어울림', '어울림', '10', '10월', '월', '은', '구민', '참여', '축제']"
83,강남페스티벌 ,"['이번', '페스티', '은', '27', '27일', '일', '사전', '사전행사', '행사', '시작', '29', '29일', '진행', '서울', '뉴스', '박', '박진숙', '진숙', '기자', '박영선', '영선', '중소', '중소벤처기업부', '벤처', '기업', '부', '장관', '11', '11월', '월', '강남', '역', '역삼', '역삼동', '삼동', '동', '팁', '팁스타운', '스타', '운', '열린', '신사', '신사역', '일대', '10', '10년', '년', '만', '공급', '분양', '분양형', '형', '상가', '희소', '희소가치', '가치', '평가', '최근', '성황리', '서리', '과', '연동', '프로젝트', '주목', '영국', '런던', '예', '자신', '업무', '외', '지역', '지역경제', '경제', '로페이', '관광', '관광진흥', '진흥', '강남페스티벌', '페스티벌', '전산', '전산정보과', '정보과', '홍보', '수', '입장', '가족', '여러분', '관심', '노고', '노고덕', '덕', '구청장', '정순', '정순균', '균', '한국', '한국엔젤투자협회', '엔젤', '투자', '협회', '중소벤처기업진흥', '공단', '31', '31일', '오후', '역삼', '역삼동', '동', '2019', '스타트', '스타트업', '업', '채용', '을', '개최', '28', '28일', '오늘', '집', '집닥', '닥', '미소', '고', '등', '50', '50여개', '여', '개', '코', '코엑스', '엑스', '푸드', '푸드위크', '위크', '서울빵', '빵', '탑', '오브', '파티', '인', '아시아', '아시아2019', '심사', '심사위원', '위원', '21', '21일', '삼성', '삼성동', '중국', '중국팀', '팀', '초콜릿', '2019.11', '공감', '공감언론', '언론']"
84,효창원독립평화축제 ,"['5', '5일', '일', '효창원', '효창원독립평화축제', '독립', '평화', '축제', '서울', '용산', '용산구', '구', '미디어', '미디어아트진찬연', '아트', '진찬', '연', '한중록', '1795', '경기', '수원', '수원시', '시', '화성', '화성행궁', '행궁', '봉', '봉수당', '수당', '의정부', '국제', '국제가야금축제', '가야금', '의정부시', '시', '의정부예술', '예술', '전당', '익산', '문화재', '야행', '전', '전북', '북', '안중근', '김구', '백정기', '이동녕', '이봉창', '윤봉길', '조성환', '차', '석', '한반도', '기여', '독립운동가', '운동가', '묘소', '효창', '효창공원', '공원', '독립평화축제', '고침', '10', '10월', '월', '4', '4일', '이틀간', '효', '효창공원', '창', '시민', '참여', '속', '막', '역사적', '컴퓨터', '새', '고침키', '키', '을', '탈바꿈', '뜻', '취지', '시민참여행사', '행사', '안중근의사기념사업회', '의사', '기념', '사업회', '이사장', '함', '함세웅', '세웅', '용', '오후', '7', '7시', '시', '숙명', '숙명여대', '여대', '숙연', '숙연당', '당', '하얼빈', '의거', '110', '110돌', '돌']"
85,한화와 함께하는 서울세계불꽃축제 ,"['한화', '서울', '서울세계불꽃축제', '세계', '불꽃', '축제', '2019', '이날', '오후', '1', '1시', '시', '9', '9시30분', '30', '분', '여의도', '한강', '한강공원', '공원', '개최', '불꽃쇼', '쇼', '7', '7시20분', '20', '8', '8시40분', '40', '1시간20분', '시간', '동안', '한국', '스웨덴', '중국', '올해', '17', '17번째', '번째', '10', '10월', '월', '5', '5일', '일', '9시', '30분', '2000', '2000년', '년', '시작', '한화그룹', '그룹', '대표적', '사회', '사회공헌', '공헌', '프로그램', '100', '100만여명의', '만', '여', '명의', '시민', '가운데', '저녁', '7시', '2', '2시간', '시간', '63', '63빌딩', '빌딩', '앞', '촌', '촌지구', '지구', '일대', '성황리']"
86,은평누리축제 ,"['2019', '2019년', '년', '한해', '한해동안', '동안', '은평', '은평구', '구', '여성', '여성능력개발', '능력', '개발', '사회', '사회참여', '참여', '확대', '관내', '경력', '경력단절여성', '단절', '243', '243명', '명', '대상', '6', '6개', '개', '과정', '직업', '직업훈련교육', '훈련', '교육', '운영', '양성', '양성평등주간', '평등', '주간', '작품', '전시회', '개최', '평', '평누리축제', '누리', '축제', '부스', '아동', '서울', '구청장', '김', '김미경', '미경', '구', '은', '은평문화재단', '문화', '재단', '추진', '추진위원회', '위원회', '공동', '주관', '다음달', '3', '3일', '일', '5', '5일', '27', '27일', '하리', '의', '주제', '올해', '10', '10회', '회', '누리축제', '성과', '하면', '주민', '수', '답변', '주도', '주도형', '형', '평가']"
