,축제명,축제주요내용
10,조계사 국화향기 나눔전 ,"['올해', '9', '9회', '회', '조계사', '국화', '국화향기', '향기', '나눔', '나눔전', '전', '시월', '시월국화', '라', '개막식', '시작', '달', '달간의', '간의', '축제', '일정', '돌입', '지현', '스님', '서울', '주지', '국화축제', '종교', '0', '0전체적', '전체적', '0다', '다', '0조화가', '조', '화가', '0것', '09', '09번', '번', '0열리', '열리', '0국화향기', '국', '화', '시', '월', '0국화', '0시월', '0성대', '성대', '0개막', '개막', '부처님', '0탄생', '탄생', '0열반', '열반', '0주제', '주제', '0열린', '열린', '함평', '함평군', '군', '군수', '권한', '권한대행', '대행', '윤', '은', '10', '10일', '일', '종로', '종로구', '구', '저', '회', '개최', '이날', '정', '정세균', '세균', '국회의원', '이', '이개호', '개호', '강필', '강필영', '영', '부', '부구청장', '구청장', '유양', '유양순', '순', '종로', '종로구의회의장', '구의', '회의장']"
11,서울서점페어 ,"['리', '리밋', '밋', '독립', '서점', '유어', '유어마인드', '마인드', '진행', '북', '페어', '마케팅', '중무장', '번째', '서울', '나무', '곳', '의', '공유', '온라인', '지도', '기반', '가상', '숲', '서울시', '11', '11월', '월', '9', '9일', '일', '10', '10일', '일', '양일간', '2019', '서울서점페어', '개최', '본', '행사', '네트워크', '형성', '정보', '정보교류', '교류', '지역', '지역서점', '활성화', '도모', '한편', '시민', '우', '우드펀딩', '드펀딩', '플랫폼', '텀', '벅', '대표', '염', '염재승', '재', '승', '이', '독립출판', '출판', '전문', '국내', '최대', '축제', '축제인', '인', '리미티드', '미', '티드', '디', '디션', '션', '아트', '아트북', '이하', '기획전']"
12,서울 코믹월드 ,"['10', '10일', '일', '서울', '서초', '서초구', '구', '양재', '양재동', '동', '센터', '저', '166', '166회', '회', '코믹', '코믹월드', '월드', '코', '코스프레', '스프', '레', '참가자', '포즈', '2019.11', '뉴스', '뉴스1', '1', '머', '너', '즈', '워', '뉴욕', '콘', '전시', '현장', '스포츠', '김', '기자', '모바일', '게임', '기업', '컴', '컴투스', '투스', '대표', '송병준', '글로벌', '아레나', '챔피언십', '브랜드', '가치', '이', '이투데이', '투데이', '애', '만화', '사랑', '축제', '양재', '콘테스트', '만화노래자랑', '노래', '자랑', '동아리', '전시교류전', '교류', '전', '등', '볼거리', '멀티', '멀티플랫폼', '플랫폼', '카카오', '카카오게임즈', '각자', '남궁', '훈', '조', '계', '계현', '현', '20', '20일', '토', '과', '21', '21일', '일', '양일간', '학', '학여울역', '여울', '역', '텍', '164', '164회', '회', '인기', '애니메이션', '프린세스', '넥트']"
13,서울사진축제 ,"['사진', '롯데', '롯데월드', '월드', '어드벤처', '0', '0롯데월드', '크리스마스', '포토', '존', '탈바꿈', '겨울', '겨울시즌', '시즌', '축제', '메', '메이크', '이크', '롯데월드타워', '타워', '서울', '스카이', '연말', '특별', '이벤트', '이브', '당일', '김', '기자', '이', '이데일리', '데일리', '국내', '최대', '글로벌', '스타트', '스타트업', '업', '컴', '컴업', '2019', '28', '28일', '일', '오전', '동대문', '동대문디자인플라자', '디자인', '플라자', '막', '미래', '뉴스', '뉴스토마토', '토마토', '박', '박준형', '준형', '벌', '목표', '이번', '행사', '0중소벤처기업', '중소', '벤처', '기업', '부', '후원', '프로그램', '상생', '미세', '미세먼지', '먼지', '등', '환경', '환경오염', '오염', '우려', '제기', '철', '강원', '강원평화경제연구소장', '평화', '경제', '연구소장', '호수', '분지', '춘천', '1', '1월', '월', '달', '평균', '농도', '2', '2월', '불꽃', '불꽃행사', '직후', '중소기업유통센터', '유통', '센터', '제공', '개', '개점', '점', '20', '20주년', '주년', '당', '당일인', '일인', '12', '12월', '3', '3일', '하루', '동안', '기존', '할인율', '브랜드', '30', '행복', '백화점', '중소기업', '전용', '판매장', '1999', '1999년', '년', '목동', '정진', '정진수', '수', '삼성', '삼성카드', '카드', '페이지', '29', '29일', '업계', '카드사', '랜드', '빛', '수', '입장권', '가격', '말', '현재', '해피', '가족', '콘테스트', '아림', '1004', '1004운동', '운동', '부대', '부대행사', '진행', '개막', '점등', '점등식', '식', '내달', '1일', '오후', '5', '5시', '시', '내년', '27', '편', '0현재', '미라클', '해운대', '한국', '한국관광공사', '관광', '공사', '홈페이지', '지금', '과거', '인연', '예능', '부산', '명실상부', '우리', '우리나라', '나라', '제', '제2', '도시', '과의', '거리', '비행기', '이용', '기', '여행', '02019', '오프닝', '패널', '패널토크', '토크', '중소벤처기업부', '은', '의미', '그동안', '위주', '개최', '벤처창업대전', '창업', '대전', '을']"
14,서울평화문화축제 ,"['경기', '평화', '광장', '서울', '시청', '1', '1만3207㎡', '만', '3207', '㎡', '의', '약', '1.7', '1.7배', '배', '면적', '2', '2만2986㎡', '2986', '조성', '그동안', '경기', '경기도', '도', '참여', '참여형', '형', '문화', '행사', '다독', '다독다독', '축제', '등', '각종', '사회', '문', '연', '농림', '농림축산식품부', '축산', '식품', '부', '체육', '체육관광부', '관광', '식품의약품안전처', '의약품', '안전', '처', '농촌', '농촌진흥청', '진흥청', '특별', '특별시', '시', '유통', '유통공사', '공사', '특별시농수산식품공사', '농수산', '민주', '통일', '통일자문회의', '자문', '회의', '후원', '이날', '비', '날씨', '마노', '마노스예술교육', '스예', '술', '교육', '사회적', '사회적협동조합', '협동조합', '2019', '예술', '예술발표회', '발표회', '동', '동행', '행', '이', '13', '13일', '일', '성모', '그루터기', '동광', '동광임파워먼트', '임', '파워', '먼트', '센터', '정신', '정신재활시설', '재활', '시설', '누리', '누리봄', '봄', '대길', '대길엘림', '엘림', '뜰', '새', '도봉', '도봉구', '구', '도봉', '재단', '9', '9일', '평화문화', '진지', '서울평화문화축제', '이야기', '시작', '움직임', '개최', '6', '6일', '구', '이번', '주제', '예술가', '활동가', '기획자', '거리', '인파', '틈', '시위', '시위대가', '대가', '감지', '고', '민', '청장', '24', '24일', '국회', '중', '성', '성동', '성동구', '동구', '사무실', '경찰', '압수', '압수수색', '수색', '당시', '단체', '회원', '폭언', '방해']"
15,아이오닉 롱기스트런 ,"['-3', '-3개월간', '개월', '간', '3', '3만5,288명', '만', '5,288', '명', '참가', '85', '85만㎞', '㎞', '현대', '현대자동차', '자동차', '환경', '사회', '사회공헌', '공헌', '러닝', '이벤트', '이벤트인', '인', '2019', '아이오', '아이오닉', '닉', '롱', '롱기스트', '기', '스트', '런', '캠페인', '10', '10일', '일', '이', '이번', '번', '행사', '현대차가', '차가', '2016', '2016년', '년', '올해', '4', '4회', '회', '친', '친환경', '대미', '장식', '마라톤', '대회', '서울', '이', '9', '9일', '토', '여의도']"
16,경북착한사과 페스티벌 ,"['5', '5일', '일', '서울', '서울광장', '광장', '2019', '경북', '사과', '페스티벌', '의', '조형물', '앞', '시민', '기념', '촬영', '이날', '7', '7일', '반값', '할인', '판매', '시식회', '등', '마련', '지역', '전국', '도가', '을', '개최', '올해', '14', '14회', '회', '이번', '행사', '3', '공연', '문화', '문화행사', '행운', '로또', '경', '경북도', '북도', '우수성', '홍보', '수입산', '과일', '소비', '감소', '촉진', '13', '13일', '2018', '개막식', '15', '15일', '홍보행사', '대한', '대한민국', '민국', '경북사과', '슬로건', '13번째', '번째', '이', '개막', '15개', '개', '주산지', '농민', '정성', '땀', '명품', '맛', '수', '기회', '값']"
17,아시아나국제단편영화제 ,"['저', '17', '17회', '회', '전주', '국제', '영화제', '한국', '단편', '경쟁', '감독상', '수상', '수상작인', '작인', '김', '감독', '혜', '혜영', '영', '25', '25회', '램', '램댄스', '댄스', '경쟁부문', '부문', '초청', '초청작인', '변성', '손과', '날개', '8', '8회', '아시아', '국제단편영화제', '최우수', '국내', '국내작품', '작품', '세계', '영화', '나', '수', '집행', '집행위원장', '위원장', '안', '안성기', '성기', '31', '31일', '일', '축제', '막', '6', '6일간의', '간의', '여정', '국내외', '게스트', '개막식', '씨네', '씨네큐브', '큐브', '광화문', '배우', '박', '박중훈', '중', '훈', '김태훈', '태', '폐막', '사회자', '선정', '25일', '올해', '데뷔', '34', '34년', '년', '차']"
18,서울김장문화제 ,"['28', '28일', '일', '서울시', '다음', '달', '1', '3', '3일', '사흘간', '서울', '서울광장', '광장', '교로', '일대', '지역', '상생', '주제', '2019', '서울김장문화제', '김장', '문화제', '개최', '하이라이트', '이틀간', '65', '배추', '김장나눔', '나눔', '행사', '0', '0서울시', '다음달', '김', '장', '은', '김장문화', '문화', '협력', '가치', '대표', '대표행사', '시민', '단체', '기업', '등', '1일', '시청', '시청앞', '앞', '김장문화제', '외국인', '한마음', '소외', '이웃', '김치', '김치명인', '명인', '김장간', '간', '우리집']"
19,글로벌 프렌즈쉽 페스티벌 ,"['세계인', '걷기', '걷기축제', '축제', '저', '5', '5회', '회', '글로벌', '프렌즈쉽', '페스티벌', '이', '11', '11월', '월', '2', '2일', '일', '서울', '서울어린이대공원', '어린이', '대공원', '1', '1천여명', '천', '여', '명', '다양', '국적', '외국인', '시민', '참여', '가운데', '성황리', '한국', '한국국제문화교류', '국제', '문화', '교류', '진흥원', '원장', '문화교류', '대축제', '11월2일', '토', '어린이대공원', '열린', '열린무대', '무대', '일대', '개최', '은']"
20,석촌호수 더북&단풍축제 ,"['서울', '송파', '송파구', '구', '구청장', '박', '박성수', '성수', '11', '11월', '월', '1', '1일', '일', '2', '2일', '이틀간', '2019', '촌', '촌호수', '호수', '북', '단풍', '축제', '28', '28일', '독서', '계절', '가을', '책', '콘셉트', '다양', '볼거리', '거리', '등', '송', '송파', '송파구', '파구', '구', '011', '011월', '01', '01일', '02', '02일', '양일간', '0', '028', '028일', '0가을']"
21,강동톡페스티벌 ,"['서울', '강동', '강동구', '강동구립도서관', '구', '립', '도서관', '축제', '2019', '페스티벌', '이', '11', '11월2일', '월', '2', '일', '강동구민회관', '민', '회관', '23', '23일', '도시', '도시관리공단', '관리', '공단', '올해', '10', '10년', '년', '동안', '주제', '강', '강연', '연', '10년간', '년', '간', '철학자', '강동선사문화축제', '선사', '문화', '등', '지역', '지역행사', '행사', '적극', '참여', '뿐', '관내', '작', '도서', '기증', '다양', '독서', '독서문화', '활동', '협동조합', '관계자', '대기업', '온라인', '온라인서점', '서점', '개최', '예정', '계획', '사업자', '이익', '일부', '환원', '상생', '지역아동센터', '아동', '센터', '책']"
22,인서울마켓 ,"['주말', '이곳', '서울', '서울마켓', '마켓', '이', '가족', '친구', '연인', '모습', '수', '은', '사회적', '사회적가치', '가치', '실현', '500', '500여개', '여', '개', '경제', '경제기업', '기업', '소셜벤처', '참여', '장터', '온라인', '플랫폼', '플랫폼관', '관', '침', '침장소', '장소', '활성화', '마케팅', '증대', '생활', '생활섬유소재관', '섬유', '소재', '등', '특화', '대구', '지역', '12', '12월', '월', '4', '4일', '일', '수', '오후', '2', '2시30분', '시', '30', '분', '대구텍스타일콤프렉스', '텍스', '타일', '콤프렉스', '0', '10', '10일', '화', '2시', '서울시', '10월', '18', '18일', '11', '11월', '1', '1일', '금', '토요일', '4시', '9', '9시', '시', '한강', '섬유원지', '원지', '음악', '음악분수대', '분수대', '수변', '수변무대', '무대', '주변', '을', '개최', '사회적경제', '김', '김기록', '기록', '코리아', '코리아센터', '센터', '대표', '대표이사', '이사', '14', '14일', '여의도', '열린', '기자', '간담회', '사업', '내용', '설명', '사진', '이데일리', '데일리', '김성훈', '성훈', '19', '19일', '국내외', '기관', '기관투자자', '투자자', '대상', '진행', '금ㆍ토요일', 'ㆍ']"
23,서울미래연극제 ,"['창작', '창작집단', '집단', '지', '지오', '오', '의', '2019', '2019년', '년', '정기', '정기공연', '공연', '연극', '양팔', '양팔저울', '저울', '이', '서울', '서울미래연극제', '미래', '연극제', '참가작', '선정', '23', '23일', '일', '24', '24일', '콘텐츠', '콘텐츠문화광장', '문화', '광장', '스테이지', '스테이지66', '66', '진행', '표현', '표현기법', '기법', '서울연극협회', '협회', '회장', '성', '주최', '저', '9', '9회', '회', '예술', '예술감독', '감독', '문', '문삼화', '삼화', '16', '16일', '31', '31일', '2010', '2010년', '서울연극제', '신진', '신진연출가', '연출가', '발굴', '문법', '실험', '동대문', '동대문구', '구', '회기', '4', '4일', '주관', '일', '개최', '올해', '개막', '개막작인', '작인', '극단', '노마', '메이', '메이데이', '데이', '마산', '상상', '상상창꼬', '창꼬', '참가', '무대', '언어', '미래연극', '초석', '작품', '지원', '공연예술축제', '축제', '멘토링', '완성', '5', '5개', '개', '제', '제9회', '일시', '10', '10월', '월', '0', '장', '장소', '소', '관람료', '2', '2만원', '만', '원', '새', '데', '대상', '문화체육관광부장', '체육', '관광', '부장', '관상', '수상작', '8', '8일', '800', '800만원', '수여', '노동자', '사지', '구조적', '문제', '물음']"
24,경복궁 생과방 ,"['문화재', '문화재청과', '청과', '한국', '한국문화재재단', '재단', '조선', '조선시대', '시대', '왕가', '별식', '전각', '경복궁', '생과', '생과방', '방', '궁중', '궁중병과', '병과', '체험', '직', '다과', '다과상', '상', '궁궐', '문화', '수', '프로그램', '그', '9', '9월1일', '월', '1', '일', '10', '10월31일', '31', '오전', '10시', '시', '오후', '5', '5시', '소주방', '을', '운영', '문화행사', '행사', '낮', '낮것상', '전고', '전고운', '운', '관계자', '조선왕조실록', '왕조', '실록', '내용', '토대', '실제', '차', '메뉴', '오늘날', '구성', '유료', '10월', '31일', '진행', '대취타', '정악', '풍물', '연희', '공연', '고궁', '고궁음악회', '음악회', '수문장', '교대', '교대의식', '의식', '창덕궁', '봉산', '봉산탈춤', '탈춤', '줄타기', '덕수궁', '전통', '전통춤', '춤', '풍', '풍류', '류']"
25,남대문 3GO 야시장 ,"['서울역', '앞', '공중', '공중보행', '보행', '서울', '7017', '이용', '남대문', '시장', '일대', '푸드', '푸드트럭', '트럭', '프리', '프리마켓', '마켓', '버스', '버스킹', '킹', '공연', '3', '야시장', '이', '10', '10월', '월', '25', '25일', '일', '26', '26일', '일', '정동', '정동일대', '덕수궁', '돌담', '돌담길', '길', '정동문화시설', '문화', '시설', '아동복', '거리', '배치도', '0', '0중구', '중구', '구청장', '양호', '도심', '야간', '명소', '조성', '활력', '인근', '운영', '24', '24일', '서울시', '특화', '특화거리', '10월말', '월말', '남대문시장', '내', '메사', '쇼핑몰', '삼익', '삼익패션타운', '패션', '타운', '130', '구간', '진행', '남대문3', '내', '총', '13', '13대', '대']"
26,문화가 흐르는 서울광장 ,"['4', '4월', '월', '시작', '올해', '문화', '서울', '서울광장', '광장', '의', '마지막', '장식', '피날레', '무대', '4일', '일', '시', '10', '10월', '공연', '7', '7일', '록', '록밴드', '밴드', '국', '국카스터', '카스', '터', '오프닝', '알제리', '독일', '브라질', '한옥', '한옥명소', '명소', '국악', '국악공연', '시향', '우리', '동네', '음악회', '등', '참여', '수', '기회', '100', '100회', '회', '이상', '진행', '거리', '거리공연', '은', '365', '이름', '참가', '출정식', '이후', '투', '투섬밴드', '섬', '특별', '응원', '콘서트', '선수단', '이번', '제', '제100회', '전국', '전국체전', '체전', '1995', '1995년', '년', '24', '24년만', '만', '종합', '종합우승', '우승', '도전', '저', '39', '39회']"
27,서울시민시장 위크(Week) ,"['서울', '시장', '표', '표창', '창', '수여', '주', '주용태', '용태', '시', '관광', '관광체육국장', '체육', '국장', '올해', '6', '6회', '회', '2019', '마이', '위크', '일반', '시민', '산업', '중요성', '업계', '지속', '지속가능', '가능', '근로자', '0', '이', '0산업', '문화', '0축제', '축제', '0주간', '주간', '밸리', '0개최', '개최', '0소재', '소재', 'ㆍ', 'ㆍ전기전자', '전기', '전자', '0기업', '기업', '037', '037개사', '개사', '0해외바이어', '해외', '바이어', '022', '022개사', '0초청', '초청', '0사전매칭', '사전', '매칭', '0통해', '통해', '0해외']"
28,생활예술인 페어 ,"['서울', '서울문화재단', '문화', '재단', '대표', '대표이사', '이사', '김', '26', '27', '27일', '일', '양일간', '동대문', '동대문디자인플라자', '디자인', '플라자', '2', '2관', '관', '2019', '생활', '생활예술인', '예술인', '페어', '개최', '23', '23일', '연극', '음악', '사진', '영상', '미술', '등', '다양', '분야', '은', '26일', '토', '일', '최근', '이상', '이상훈', '훈', '본인', '인', '인스타그램', '스타', '그램', '글', '근황', '공개', '팬', '우', '구경', '가보', '흑', '상훈', '노란색', '노란색기', '기']"
29,청룡문화제 ,"['동대문', '동대문구', '구', '구청장', '유덕', '유덕열', '열', '26', '26일', '일', '27', '27일', '이틀', '동안', '왕산', '용두', '용두공원', '공원', '일대', '저', '29', '29회', '회', '청룡', '청룡문화제', '문화제', '개최', '동대문문화원', '문화원', '보존', '보존위원회', '위원회', '공동', '주최', '서울시', '후원', '이번', '축제', '서울', '비', '염원', '풍농', '기원']"
30,한마음 걷기축제 ,"['저', '9', '9회', '회', '한마음', '걷기', '걷기축제', '축제', '이민자', '결혼', '민자', '유학생', '외국인', '외국인근로자', '근로자', '등', '국내', '체류', '일반', '시민', '3,000', '3,000여', '여', '명', '참석', '하늘', '하늘공원', '공원', '둘레', '둘레길', '길', '뜻', '행사', '이', '이번', '번', '법무부', '서울', '서울출입국', '출입국', '대전', '대전방송', '방송', '뉴스', '가을', '탄', '탄동길', '동', '풍', '행복', '이', '시간', '시민기자', '기자', '박', '박오덕', '오', '덕', '이드', '굿', '굿뉴스', '전시', '양재', '양재꽃시장', '꽃', '시장', '마포', '마포구', '구', '상', '상암월드컵공원', '암', '월드컵', '평화', '평화광장', '광장', '태화강', '태화강국제설치미술제', '국제', '설치', '미술제', '울산', '남구', '태화강국가정원', '국가', '정원', '철새', '철새공원', '성남', '성남축제', '날', '투', '투모', '모', '우', '랜드', '경기', '경기도', '도', '성남', '성남시', '시', '천', '천종합운동장', '종합', '운동장', '앞', '한국', '한국수력원자력', '수력', '원자력', '월성', '월성원자력본부', '본부', '최근', '양', '양남', '양남면', '남면', '면', '진리', '진리해변', '해변', '특설', '특설무대', '무대', '시행', '3', '3회', '양남주상절리', '주상', '절리', '대회', '지원', '참여', '주상절리', '아름다움']"
31,양재플라워페스타 ,"['양', '양재', '양재동', '재동', '동', '꽃', '꽃시장', '시장', '개최', '중인', '재', '플라워', '페', '페스타', '스타', '상', '스팟', '입', '입소문', '소문', '이번', '이번주말', '주말', '방문객', '예상', '농림', '농림축산식품부와', '축산', '식품', '부와', '한국', '농수산', '농수산식품', '유통', '유통공사', '공사', '사장', '이병', '이병호', '호', '도시민', '힐링', '가치', '전파', '23', '23일', '일', '27', '27일', '양재', '양재동', '동', '현장', '현장사진', '사진']"
