,축제명,태그
19,제4회충무로뮤지컬영화제,"['개' '개폐막작' '폐막' '작' '8' '8개' '개' '섹션' '40' '40편' '편' '상영' '공식' '폐막식' '식'
 '청작' '야외' '야외상영' '심야' '심야상영' '등']"
20,선농대제,['제례' '제례행렬' '행렬' '선' '선농제향' '농' '제향' '재현' '등']
21,세계거리춤축제,"['세계' '춤' '공연' '댄스' '전문' '동호회' '경연' '등' '개' '개폐막' '폐막' '주제' '주제공연' '문화'
 '문화공연' '-30' '-30여개' '여' '개' '프로그램' '각종' '체험' '체험부스' '부스' '먹거리' '먹거리부스'
 '운영']"
22,청룡문화제,"['어가' '어가행렬' '행렬' '청룡' '청룡제향' '제향' '축하' '축하콘서트' '콘서트' '전통문화' '체험' '체험부스'
 '부스' '운영']"
23,서울약령시 한방축제,"['보' '보제원' '제원' '제향' '거리' '레' '레이드' '이드' '한방' '한방사랑' '사랑' '시민' '시민걷기대회'
 '걷기' '대회' '한방약' '한방약선' '선' '요리' '요리대회' '등']"
24,관악 강감찬축제,"['귀' '귀주대첩' '주' '대첩' '전승' '전승행력' '행력' '거리' '레' '레이드' '이드' '대표' '대표프로그램'
 '프로그램' '관악' '관악구의' '구의' '역사' '역사문화자원' '문화' '자원' '강감찬' '장군' '테마' '공연' '전시'
 '체험' '체험프로그램' '운영' '개' '개폐막' '폐막' '주제' '주제공연' '문화공연' '7' '7개' '개' '분야'
 '20' '20여개' '여' '기타' '특별' '특별행사' '행사' '등등']"
25,"2019 G페스티벌
(구로아시아문화축제)","['아시아' '드림' '드림콘서트' '콘서트' '테마' '공연' '전시' '체험' '체험프로그램' '프로그램' '운영' '한마당'
 '전통' '전통공연' '등' '아시아특별기획' '특별' '기획' '아시아누들' '누들' '축제' '마켓' '개' '개폐막' '폐막'
 '주제' '주제공연' '문화' '문화공연' '어린이' '테마파크' '파크' '건강' '건강노익장' '노익장' '대회' '주민'
 '주민자치발표회' '자치' '발표회' '등']"
26,2019양천해우리페스티벌,"['양천' '양천예술제' '예술제' '포함' '양천' '양천구' '구' '종합' '종합축제' '축제' '확대' '개최' '추진'
 '반려' '반려동물축제' '동물' '로데오' '로데오거리축제' '거리' '등' '서울' '서울시민' '시민' '수' '종합문화예술'
 '문화' '예술' '마련' '마을' '마을축제' '마을동아리' '동아리' '공연' '전시' '체험' '등']"
27,노원탈축제,"['탈' '퍼레이드' '경연' '경연대회' '대회' '플래시' '전야제' '초청' '초청공연' '공연' '주민' '주민참여형'
 '참여' '형' '각종' '만들기' '공익' '전시' '먹거리' '등' '다양' '부스' '운영']"
28,노원등축제,['등' '작품' '조형물' '전시' '개막식' '특별' '특별행사' '행사' '부대' '부대행사']
29,온동네어울림한마당,"['관리' '관리형' '형' '주거' '주거환경개선사업' '환경' '개선' '사업' '주민' '주민공동체' '공동체' '홍보'
 '네트워크' '강화' '행사' '프리' '프리미켓' '미' '켓' '주민공연' '공연' '체험' '체험프로그램' '프로그램' '개'
 '개폐막' '폐막' '주제' '주제공연' '문화' '문화공연' '등' '10' '10개' '개' '분야' '20' '20개']"
30,성곽마을 주민한마당,"['주민' '주민역량강화' '역량' '강화' '상호' '상호협력' '협력' '성곽' '성곽마을' '마을' '전체' '화합' '장'
 '미니' '미니강연회' '강연회' '탐방' '탐방주간운영' '주간' '운영' '가치' '가치공유박람회' '공유' '박람회']"
31,2019 서울정원박람회,"['마을' '마을주민' '주민' '전문' '전문작가' '작가' '협업' '주민참여정원' '참여' '정원' '조성' '정원산업전'
 '산업' '전' '특별' '프로그램' '신설' '우수' '우수제품' '제품' '콘테스트' '등' '가족' '가족화분만들기' '화분'
 '만들기' '스탬프' '스탬프투어' '투어' '시민' '시민참여프로그램' '운영' '조경' '정원발전' '발전' '콘퍼런스'
 '가든' '가든시네마' '시네마' '가을' '가을밤' '밤' '음악회' '정원문화페스티벌' '문화' '페스티벌']"
32,제12회 마포나루 새우젓축제,"['핵심' '핵심프로그램' '프로그램' '황' '황포돛배' '포' '돛배' '입항' '입항재현' '재현' '개장식' '개막식'
 '문화' '체험' '판매' '판매행사' '행사' '8' '8개분야' '개' '분야' '78' '78개']"
33,서울와우북페스티벌,['복합' '복합책문화예술' '책' '문화' '예술' '축제' '도서' '판매' '강연' '공연' '등']
34,서울프린지페스티벌,['독립' '독립예술제' '예술제']
35,서울국제뉴미디어페스티벌,"['대안' '영상' '미디어' '미디어축제' '축제' '뉴' '서울' '국제' '뉴미디어' '대안영화제' '영화제' '전시'
 '뉴미디어아트페스티벌' '아트' '페스티벌' '개막식' '폐막' '등']"
36,2019 판 페스티벌,"['홍' '홍대' '대' '기반' '활동' '플러그' '아티스트' '미술' '공예' '공예작가' '작가' '창작' '창작국악공연'
 '국악' '공연' '등' '구성' '복합' '복합문화축제' '문화' '축제']"
37,홍대앞 예술시장 프리마켓,['생활' '생활창작품' '창' '작품' '전시' '판매' '공연' '등']
38,벚꽃축제,['벚꽃' '주제' '공연' '전시' '등' '만개' '아름다움' '시민' '공유']
39,장미원축제,['사진' '데이트' '장미원' '사진공모전' '공모전' '공연' '등']
40,동물원 속 미술관,"['상' '상상' '속' '동물' '동물원' '예술' '작품' '전시' '멸종' '멸종위기종' '위기' '종' '보호' '재활용'
 '공예' '등']"
41,종로랑 페스티벌,"['생활' '생활문화' '문화' '예술' '예술동아리' '동아리' '연합' '축제' '개막' '공연' '체험' '마켓' '전시'
 '4' '4개분야' '개' '분야']"
42,대학로거리공연축제,['거리' '거리공연프로그램' '공연' '프로그램' '그림' '마로니에' '버블' '버블타임' '타임' '등']
43,대학로문화축제,['대' '대학생' '학생' '기획' '진행' '프로그램' '아시아' '전통' '전통문화공연' '문화' '공연' '등']
44,종로한복축제,"['평화' '사랑' '강' '강강술래' '술래' '명과' '화합' '북' '메아리' '진도' '진도북춤' '북춤' '새' '한복'
 '한복음악회' '음악회' '등']"
45,윤동주문학제,"['윤동주' '윤동주창작음악제' '창작' '음악제' '시인' '테마' '시화' '시화공모전' '공모전' '문학' '문학토크콘서트'
 '토크' '콘서트' '다큐멘터리' '상영' '상영회' '회' '시민' '열린' '열린콘서트' '기타' '부대' '부대행사' '행사'
 '개최']"
46,서리풀페스티벌,"['퍼레이드' '지상' '지상최대' '최대' '스케치북' '고품' '고품격' '격' '기획' '기획공연' '공연' '폐막'
 '폐막공연' '프린지' '청년' '청년예술인' '예술인' '아마추어' '등' '지역' '지역특화프로그램' '특화' '프로그램'
 '지역축제' '축제']"
47,반포서래 한불음악축제,"['국내' '프랑스' '뮤지션' '축하' '축하공연' '공연' '주민' '주민참여공연' '참여' '불꽃놀이' '먹거리' '먹거리부스'
 '부스' '푸드' '푸드트럭' '트럭' '운영']"
48,서초골 축제,['클래식' '클래식음악회' '음악회' '오페라' '뮤지컬' '콘서트' '개최']
49,정월대보름 달맞이행사,"['달집' '지신' '등' '전통' '전통문화행사' '문화' '행사' '재현' '쥐불' '쥐불놀이' '놀이' '윷' '윷놀이'
 '널뛰기' '민속놀이' '체험' '체험장' '장' '운영']"
