,축제명,태그
25,제11회 영등포 여의도 봄꽃축제,"['전문' '예술가' '시민' '시민공모' '공모' '프로그램' '운영' '무대' '거리' '거리공연' '공연' '예술' '예술체험'
 '체험' '홍' '홍보존' '보존' '관광' '관광사진작품' '사진' '작품' '전시' '현대' '현대작가야외초대전' '작가'
 '야외' '초대전' '등' '영등포' '영등포관광정보센터' '정보' '센터' '영등포관광그랜드세일' '그랜드' '세일' '숙박'
 '식' '음료' '음료업체' '업체' '이용' '할인']"
26,응봉산 개나리축제,"['청소년' '일반인' '대상' '그림' '그림그리기' '그리기' '글짓기' '글짓기대회' '대회' '응' '응봉산' '봉산'
 '암벽' '암벽체험행사' '체험' '행사' '운영' '야경' '개나리' '개나리사진' '사진' '스마트' '스마트폰' '폰'
 '공모전' '개나리음악회' '음악회' '야간' '산상' '콘서트']"
27,태조 이성계 축제,"['태' '태조' '조' '이성계' '사냥' '사냥행차' '행차' '거리' '퍼레이드' '사냥체험' '체험' '축제' '으랏'
 '도의' '전설' '창작' '창작뮤지컬' '뮤지컬' '인월' '달' '인류' '인류무형문화유산' '무형' '문화' '유산'
 '매사냥' '시연' '검무' '군대' '열무' '조선' '조선무예' '무예' '시범' '24' '24반' '반']"
28,성동디자인위크,"['관' '관내' '내' '디자이너' '아티스트' '작품' '전시' '소개' '신' '작가' '문화' '문화예술' '예술' '체험'
 '프로그램' '운영']"
29,"2016 D.FESTA 
대학로 거리공연축제","['거리' '거리공연프로그램' '공연' '프로그램' '해외' '해외10개팀' '10' '개' '팀' '국내' '국내40개팀' '40'
 '안전' '안전체험' '체험' '세미나']"
30,세종마을 세종주간 축제,"['세종' '세종대왕' '대왕' '어가' '어가행렬' '행렬' '생신' '생신연' '연' '인왕산' '인왕산그리기' '그리기'
 '대회' '전시회']"
31,"궁중과 사대부가의
전통음식축제","['특정' '특정주제' '주제' '궁중' '궁중음식' '음식' '전시' '구민' '주도' '무료' '체험' '체험프로그램'
 '프로그램' '운영' '주제공연' '공연' '지역' '지역공동체' '공동체' '문화' '문화공연' '기타' '전문가' '시연'
 '등']"
32,육의전체험축제,"['전통' '옥' '육의' '육의전' '전' '체험' '체험부스' '부스' '14' '14개' '개' '운영' '소' '소특구'
 '특구' '우수' '우수상품' '상품' '전시' '판매' '이동' '박물관' '종로' '종로청계관광특구' '청계' '관광'
 '홍보관' '현대' '무대' '프로그램' '흔적' '시간' '시간여행' '여행' '해설' '해설코스' '코스']"
33,윤동주문학제,['전국' '윤동주' '윤동주창작음악제' '창작' '음악제' '청소년' '윤동주시화공모전' '시화' '공모전' '전시회']
34,인사전통문화축제,"['전통' '전통국악공연' '국악' '공연' '전' '전통를' '통를' '테마' '전시' '체험' '체험프로그램' '프로그램'
 '운영' '개막식' '전통음식축제' '음식' '축제' '전통명가전' '명가' '등' '3' '3개' '개' '분야' '14'
 '14개']"
35,남대문 아동복축제,['아동복' '아동복할인행사' '할인' '행사' '캐릭터' '퍼레이드' '등']
36,명동 빛 축제,['크리스마스' '트리' '포토' '가로수' '빛' '장식' '등']
37,정동야행,"['정' '정동' '동' '문화' '문화시설' '시설' '야간' '야간개방' '개방' '덕수궁' '덕수궁길' '길' '체험'
 '체험존' '존' '고궁' '고궁음악회' '음악회']"
38,충무로뮤지컬영화제,"['10' '10개' '개' '이상' '섹션' '구성' '영화' '25' '25편' '편' '상영' '공식' '개' '폐막'
 '폐막식' '식' '청작' '야외' '야외상영' '심야' '심야상영' '피칭' '피칭프로그램' '프로그램' '등' '뮤지컬'
 '공연' '결합' '충무로' '충무로뮤지컬영화제' '영화제' '특화' '이벤트']"
