축제명,0,1,2,3,4,5,6
개천절 대제전 ,서울,기업,프로그램,세계,국내,주제,공원
서울뮤직시티커넥션 ,서울,음악,페스티벌,도시,참여,시민,무대
도봉산 페스티벌 ,페스티벌,축제,서울,개최,주민,진행,일대
구로G페스티벌 ,서울,축제,대회,문화,전통,공연,지역
한성백제문화제 ,축제,문화,서울,대표,구청장,프로그램,국내
서울국악축제 ,전통,행사,페스티벌,예술,축제,서울,대표
염리동 소금 축제 염리동 愛(애) 소금꽃 피다! ,문화,주민,축제,공연,전통,주최,체험
서서울호수공원 수상음악축제 ,서울,음악,축제,공원,개최,공연,무대
서울스트릿댄스 페스티벌 ,페스티벌,오후,서울,개최,지역,주민,전국
제로원데이(ZER01NE DAY) ,기업,서울,개최,행사,다양,사진,제공
라틴아메리카축제 ,축제,구청장,체험,행사,주최,참여,다양
종로청계관광특구 육의전 축제 ,축제,개최,행사,체험,거리,구청장,한국
서초서리풀페스티벌 ,한국,페스티벌,축제,진행,대한민국,거리,일대
서울 문화원 엑스포 ,서울,문화,전통,광장,오후,행사,전국
실버문화 페스티벌 ,문화,프로그램,주관,개최,행사,페스티벌,참여
영크리에이터스 마켓 <9월 마주치장> ,기업,어린이,세계,국내,주제,공원,대표
"고려인삼 페스티벌 우리라서 삼, 좋다 ",대회,우리,지역,역사,개최,프로그램,서울
세계거리춤축제 ,축제,서울,세계,문화,거리,예술,주제
종로한복축제 ,축제,구청장,주민,서울,행사,진행,공원
건강서울페스티벌 ,개최,기업,기자,서울,행사,다양,시민
성북동 문화재야행 ,문화,우리,예술,대표,오후,개최,서울
한국중고자동차페스티벌 ,지역,사진,축제,제공,대회,프로그램,전국
위댄스 페스티벌 ,서울,문화,공원,예술,한강,대표,축제
너랑나랑우리랑 역사야 놀자 ,문화,한국,우리,체험,제공,사진,일대
강북구 산악문화제 ,음악,축제,어린이,문화,행사,공연,구청장
대한민국 청년의 날 ,도시,우리,개최,대한민국,행사,다양,전국
우리여행GOGO페스티벌 ,서울,광장,우리,페스티벌,국내,대한민국,일대
추석 농수특산물 서울장터 ,서울,광장,참여,전국,지역,대표,시민
장애인문화예술축제 ,예술,문화,축제,서울,거리,주관,다양
서울시민연극제 ,시민,서울,문화,한국,참여,대표,사진
서울 드론 챌린지 2019 (Seoul Drone Challenge 2,기업,어린이,세계,국내,주제,공원,대표
서울국제여성영화제 ,서울,한국,지역,개최,주제,프로그램,세계
서울세계도시문화축제 ,도시,문화,세계,축제,서울,광장,일대
광진교 페스티벌 ,문화,진행,축제,서울,개최,주민,페스티벌
남산 걷기명상 ,서울,참여,시민,문화,한국,기자,주제
영양고추 H.O.T 페스티벌 ,서울,시민,광장,주제,행사,진행,도시
서울 드라마어워즈 ,한국,서울,문화,예술,대한민국,행사,오후
창무국제공연예술제 ,예술,서울,공연,한국,개최,행사,주최
서울 코믹월드 ,전시,기업,기자,서울,대표,거리,축제
서울 코믹월드 ,전시,기업,기자,서울,대표,거리,축제
대한민국무용대상 ,예술,대회,어린이,문화,전국,세계,대한민국
펫터파크: PETCATION ,축제,서울,어린이,다양,예술,전통,국내
서울국제뉴미디어페스티벌 ,페스티벌,서울,작품,주제,다양,진행,전시
서울프린지페스티벌 ,문화,예술,서울,페스티벌,우리,전시,진행
서울디저트페어 수박&망고 ,서울,축제,다양,국내,주제,진행,오후
아시아프 ,세계,작품,전시,국내,축제,문화,행사
한강몽땅 여름축제 ,축제,한강,서울,프로그램,참여,국내,주제
라이프플러스 시네마위크 ,한강,공원,서울,행사,다양,오후,기업
서대문독립민주축제 ,축제,역사,행사,서울,사진,대표,시민
서울 무궁화축제 ,서울,공원,축제,대표,역사,오후,지역
서울청소년연극축제 ,예술,문화,축제,구청장,무대,서울,개최
워터피크닉 ,서울,공원,축제,한강,오후,시민,행사
성북문화바캉스 ,문화,어린이,서울,개최,가족,오후,한국
한강물싸움축제 ,한강,축제,서울,공원,진행,제공,체험
아시테지 국제여름축제 ,축제,한국,문화,공연,예술,기자,국내
한강나이트워크42K ,한강,공원,서울,행사,광장,진행,대표
Good Day Festival ,기업,어린이,세계,국내,주제,공원,대표
서울 물순환 시민문화제 ,시민,서울,문화,광장,개최,행사,진행
서울 코믹월드 ,전시,기업,기자,서울,대표,거리,축제
보드게임콘 ,축제,공원,제공,이벤트,참여,국내,주제
마포동네책축제 여름 책 열음 ,축제,주민,사진,제공,지역,문화,행사
여우樂 페스티벌 ,음악,축제,예술,기자,서울,개최,행사
대한민국연극제 ,문화,다양,예술,서울,대한민국,대표,무대
노량진의밤 야간난전 ,거리,오후,기자,개최,공원,일대,서울
프랑스 거리음악 축제 ,예술,문화,축제,음악,전통,페스티벌,무대
마켓을 여행하다 ,세계,개최,대표,기업,프로그램,국내,주제
국제차문화대전 ,전시,도시,세계,페스티벌,시민,대한민국,제공
청춘열전 흥 페스티벌 ,한국,문화,음악,축제,주관,행사,공연
서울미트페어 ,서울,행사,체험,축제,개최,다양,이벤트
서울자전거대행진 ,광장,공원,서울,진행,기업,프로그램,국내
라틴아메리카축제 ,축제,체험,구청장,서울,개최,문화,주민
