"","X","Age_10","Age_20","Age_30","Age_40","Age_50","Age_60","clt$cluster"
"1",1,0.119245351634155,0.175214385002885,0.232573928556587,0.225596005930407,0.155143959737926,0.0922263691380407,5
"2",2,0.0576173780762024,0.21763253612932,0.212880101626083,0.178973826453607,0.194375138621925,0.138521019092862,5
"3",3,0.0789057865578225,0.278413113750225,0.203540082510218,0.177115395927797,0.152133858312361,0.109891762941576,2
"4",4,0.0758233952441959,0.13556971892876,0.210237051425104,0.217048451753021,0.211772967164276,0.149548415484643,3
"5",5,0.0455903210648352,0.140657409538873,0.230919672567979,0.245123636656912,0.19696002356909,0.140748936602312,3
"6",6,0.0319442759237386,0.138737114782551,0.232709704140165,0.254706819142451,0.200465686701758,0.141436399309337,3
"7",7,0.116669915135414,0.126155775346501,0.184383085952486,0.242023683326029,0.186367966650818,0.144399573588751,3
"8",8,0.0591479735960381,0.150030846126497,0.218341479946375,0.231611626647131,0.182948250046932,0.157919823637028,3
"9",9,0.0739614354556428,0.329067792614906,0.217794835621703,0.174564825138605,0.122109331663081,0.0825017795060625,2
"10",10,0.0811182712561664,0.251008611059111,0.210252322467181,0.184819327024325,0.15100645360231,0.121795014590906,5
"11",11,0.0291809917999813,0.165292984454435,0.218865456480872,0.251142562282292,0.205157055819303,0.130360949163117,3
"12",12,0.0874975096907506,0.119851965023381,0.233167875356434,0.244963309657414,0.173759007630646,0.140760332641375,3
"13",13,0.0723810837762501,0.131667828477923,0.208909640128977,0.204461597296858,0.230379912283267,0.152199938036726,3
"14",14,0.053852171771286,0.148251435191449,0.255995642377285,0.262754510558687,0.177950852289711,0.101195387811582,4
"15",15,0.0923332253748837,0.156435151671433,0.206935330868916,0.196478592249135,0.181312970816373,0.16650472901926,3
"16",16,0.0362426968587834,0.151764324372855,0.266679643149312,0.271448461822437,0.178558232804291,0.0953066409923219,4
"17",17,0.0362426968587834,0.151764324372855,0.266679643149312,0.271448461822437,0.178558232804291,0.0953066409923219,4
"18",18,0.0530709712300149,0.231390774922645,0.224395593044642,0.206669078904357,0.170305927894793,0.114167654003547,5
"19",19,0.159951581087904,0.128733107044621,0.158576894457496,0.260672535565614,0.181003422092245,0.11106245975212,3
"20",20,0.0238801358682976,0.179881479588665,0.26872772611034,0.248676148817754,0.173573135114339,0.105261374500605,4
