STD_YM,STD_YMD,festival_no,분석기준일,MAN_10,MAN_20,MAN_30,MAN_40,MAN_50,MAN_60,WMAN_10,WMAN_20,WMAN_30,WMAN_40,WMAN_50,WMAN_60
201509,20150904,1,d-day,1217.15999999994,3188.4500000003304,6120.520000000861,6131.13000000072,4262.58000000034,2395.04000000002,3858.7700000001896,4269.92000000042,3779.4800000002797,3471.84000000029,2341.4500000000303,1530.76999999987
201509,20150905,2,d-day,1173.80999999984,4622.71000000294,5029.26000000302,4147.6500000016995,4495.33000000211,3288.1900000013297,1161.58999999984,4198.57000000231,3599.39000000155,3106.6800000010603,3383.2600000012603,2326.4700000003
201509,20150905,3,d-day,3904.7900000008794,13869.850000003999,11676.680000003998,9477.21000000327,8666.8800000025,6744.640000002641,5001.9500000013795,17556.910000001,11298.5500000041,10515.2500000036,8505.71000000239,5659.74000000214
201509,20150905,4,d-day,2811.10000000026,5050.99000000262,8213.51000000403,8580.42000000445,8163.06000000374,6030.55000000319,2885.84000000027,5134.95000000291,7582.51000000417,7727.37000000378,7748.3600000036095,5205.67000000237
201509,20150915,5,d-day,1233.44999999981,3522.8000000002703,7951.17000000146,8868.44000000215,6854.50000000157,4948.63000000104,1406.5199999997599,4622.160000000539,5420.550000000971,5325.78000000085,4550.74000000072,3201.63000000029
201509,20150915,6,d-day,2207.33999999993,10303.6900000031,24336.8200000025,28007.8400000005,20901.9500000008,15103.440000005301,3345.10000000037,13811.1000000049,16111.9500000052,16264.3900000047,13942.280000004099,9480.53000000293
201509,20150919,7,d-day,1129.72999999989,1171.9999999997801,1912.3599999996698,2415.83999999986,2072.82999999969,1584.76999999974,1216.73999999987,1365.24999999973,1795.9599999997,2451.74999999995,1675.40999999974,1319.3999999998
201509,20150927,8,d-day,1065.87999999989,2692.3400000002102,3909.3300000005897,4170.21000000065,3267.4200000007104,2955.85000000052,1042.42999999988,2655.46000000025,3873.3800000005895,4085.51000000063,3253.71000000052,2673.1500000002898
201510,20151001,9,d-day,3618.69000000111,19888.899999996498,16086.1800000046,12865.330000003602,8900.450000002551,5663.64000000165,5590.61000000165,21084.9399999971,11032.5200000036,8870.5900000021,6303.98000000165,4609.06000000142
201510,20151002,10,d-day,4329.14000000114,12090.840000003998,11705.750000003998,10663.8400000035,8993.34000000279,7503.77000000278,4920.2200000015,16529.950000003202,12267.880000003799,10409.8400000033,8224.89000000214,6383.6800000023495
201510,20151002,11,d-day,1605.77999999971,10728.7600000026,17490.5500000034,21635.0600000017,17794.2600000027,10964.1000000032,2124.6499999997304,10401.910000002701,10488.7000000031,10470.4200000026,8432.540000002042,5700.9400000014
201510,20151009,12,d-day,1588.44999999974,2197.70999999998,4023.86000000134,4818.16000000183,3613.0700000011298,2823.8400000007896,1832.83999999971,2488.6900000005103,5093.37000000189,4760.29000000171,3181.1800000008598,2680.1100000006304
201510,20151010,13,d-day,1516.5199999998401,2802.43000000055,4748.29000000151,4504.51000000116,4841.6200000013505,3246.2100000005603,1473.88999999984,2637.4000000003302,3882.77000000105,3942.7800000009206,4676.48000000149,3041.9000000005394
201510,20151023,14,d-day,3938.59000000055,12255.8000000028,28841.9900000037,33265.4800000027,22268.8200000037,12353.9600000032,6801.1400000013,17309.9600000032,22211.1800000038,19135.610000003202,13219.8900000029,7827.420000001791
201510,20151025,15,d-day,1236.21999999987,2145.55999999992,3167.2000000005396,2940.9500000004,2680.74000000035,2515.4200000002697,1492.07999999983,2476.85000000015,2947.41000000038,2864.6800000003495,2676.7700000003197,2404.53000000014
201510,20151029,16,d-day,1451.1399999997598,7936.550000001659,19797.5400000041,22675.1000000036,14656.7800000032,7463.55000000167,3231.7100000005394,11672.6300000025,14659.6300000033,12398.240000002901,8414.39000000147,4850.84000000079
