festival_id,restaurants_id,distance
1,27348727,270
1,27407959,299
1,1346301870,289
1,21232315,372
1,220828644,105
1,2067124772,428
1,15892869,373
1,21326655,596
1,22906526,523
1,11064200,281
1,18608004,423
1,967729291,594
1,11152625,466
1,1488776818,340
1,21306149,234
1,1822111964,639
1,27540102,681
1,21233273,352
1,15300740,339
1,26608740,309
1,10703052,316
1,10332413,760
1,19781214,413
1,15982071,797
1,207440691,467
1,27493789,178
1,23966819,378
1,11796066,344
1,10852259,383
1,10372376,184
1,7872029,528
1,2038128499,652
1,13288545,290
1,901404875,252
1,7885256,450
1,11558033,269
1,781644913,404
1,26567082,679
1,7937472,577
1,23054755,340
1,8577709,295
1,12518556,351
1,10679979,230
1,10256976,189
1,855897677,340
5,27257671,267
5,10989675,220
5,7955033,420
5,8167893,278
5,1738924833,149
5,11047425,331
5,1715421113,252
5,10247677,427
5,27587934,494
5,17064060,434
5,25036101,698
5,18385136,484
5,16917582,410
5,9638083,443
5,27337863,517
5,11623866,256
5,19774912,294
5,27226043,503
5,26455033,418
5,9409171,336
5,16851125,437
5,16907406,127
5,406154640,42
5,666278359,423
5,677767540,368
5,9871015,245
5,13603065,333
5,1732967673,602
5,18889928,517
5,1629079854,513
5,15216358,308
5,8506442,503
5,27542147,379
5,13096492,933
5,21582012,303
5,27221784,324
5,27332870,352
5,1099555842,356
5,485941778,430
5,26903477,278
5,764521084,336
5,254563013,332
5,21298883,348
5,1299900005,324
5,16093309,16
6,10082639,343
6,8481800,188
6,57805118,369
6,8350296,897
6,10937628,614
6,940596738,619
6,145529270,787
6,1511495957,628
6,18409382,964
6,1269322232,620
6,10908820,356
6,2103607466,635
6,22550512,671
6,76492396,628
6,807624661,824
6,1763635217,761
6,268598890,665
6,781823031,558
6,63106756,932
6,19666444,829
6,1149016835,615
6,10050613,902
6,9563132,699
6,1154706801,666
6,26236019,650
6,902082546,807
6,208055994,694
6,9690680,472
6,229234978,594
6,1800355697,782
6,21254758,693
6,703272028,406
6,9549368,58
6,1920190959,575
6,22820008,938
6,1799894284,615
6,581577576,820
6,27471039,622
6,1544371560,994
6,1752863906,519
6,2084762565,782
6,8624654,804
6,8661634,776
6,16780482,860
6,1695067832,634
9,637871051,942
9,538906354,835
9,1111389895,870
9,343685822,660
9,1032182620,933
9,683353281,918
9,160351626,889
9,15097930,938
9,20706652,757
9,419687817,875
9,1446937605,615
9,134757357,944
9,12344342,946
9,267259,943
9,2104058090,942
9,715340794,872
9,1037793867,994
9,1079546742,580
9,16645849,939
9,1294919969,940
9,998639643,993
9,8852834,582
9,18452804,580
9,14512174,581
9,510033109,685
9,230030623,940
9,1146811829,870
9,1292924039,900
9,1182814277,943
9,21410326,826
9,12787283,878
9,23376549,789
9,923964232,841
9,15732335,581
9,723061403,918
9,1772468921,817
9,1337480436,925
9,19781383,630
9,15745598,951
9,19132664,948
9,1861530937,942
9,795267287,941
9,1574940418,940
9,359006706,941
9,19157626,943
10,187151325,266
10,325620570,345
10,84131333,673
10,9217906,331
10,14632086,611
10,15107601,295
10,1394900382,633
10,26939490,189
10,26547607,254
10,9490689,362
10,9341030,330
10,9199444,649
10,681342661,370
10,8459531,115
10,711334629,885
10,7998251,210
10,14747411,327
10,7948597,543
10,13094333,743
10,21697154,341
10,204974038,245
10,27306245,249
10,15337671,225
10,2061208553,244
10,344763652,338
10,9583651,345
10,1049797803,9
10,709257368,947
10,27323374,227
10,20198541,358
10,8613656,785
10,25000088,464
10,306286759,537
10,19567834,592
10,505372166,347
10,13096742,243
10,8061153,327
10,222388232,243
10,112920227,823
10,27589889,328
10,1160076273,243
10,71777233,250
10,22136835,705
10,27596619,298
10,27195887,191
15,16622191,372
15,21545282,289
15,13289961,357
15,147730454,956
15,12643139,745
15,10500536,741
15,20746242,684
15,1601416820,813
15,27184809,448
15,8094563,962
15,1165592124,709
15,7967166,850
15,21423297,840
15,10592276,701
15,11055776,406
15,18612273,459
15,20125157,865
15,867470979,754
15,1526506602,916
15,12733426,668
15,20746105,890
15,371810654,843
15,11165764,292
15,261500890,961
15,12543507,685
15,15289989,798
15,1262490454,837
15,11505059,690
15,10636351,946
15,663977672,977
15,27491970,894
15,26883285,805
15,534869450,747
15,8536853,870
15,8217961,981
15,11891739,854
15,993469692,744
15,1946618093,912
15,8999317,777
15,1693870533,967
15,8008953,694
15,8086602,951
15,1614730262,793
15,10504261,790
15,873324126,843
16,1228257268,225
16,27209120,491
16,220597413,539
16,23557234,541
16,27226004,462
16,15338847,528
16,8051240,167
16,12700169,222
16,714386564,119
16,8798107,102
16,10693894,669
16,24188406,544
16,8122347,647
16,12180619,355
16,9921124,724
16,950800016,176
16,26869833,459
16,16329490,715
16,16766032,623
16,8567349,433
16,13280285,492
16,10257556,417
16,8059248,759
16,1552134355,555
16,15704053,431
16,8023243,616
16,1352275803,468
16,890148804,475
16,14660253,131
16,26330615,393
16,12101770,337
16,10126614,519
16,19365379,553
16,15754874,553
16,136078605,462
16,2036824361,549
16,1744333427,426
16,13123075,721
16,1598871123,134
16,27392872,195
16,480593821,265
16,10469584,706
16,551875435,298
16,2024053456,510
16,13320353,780
17,21326655,263
17,27540102,316
17,27407959,228
17,967729291,292
17,2067124772,212
17,1346301870,291
17,18608004,108
17,21232315,416
17,21233273,41
17,2038128499,377
17,27348727,515
17,1488776818,198
17,11064200,244
17,7937472,260
17,11796066,72
17,26608740,207
17,13314584,422
17,19781214,365
17,24725293,668
17,7885256,172
17,27501286,227
17,220828644,442
17,15982071,782
17,10703052,302
17,8051186,354
17,8381402,521
17,23966819,324
17,26558016,338
17,27506479,559
17,15431872,352
17,152172304,517
17,22906526,745
17,901404875,167
17,499765400,515
17,16413731,159
17,839834408,259
17,27105687,292
17,18306071,276
17,855897677,198
17,12447947,164
17,1822111964,829
17,781644913,425
17,18274189,133
17,22320716,198
17,811272424,607
19,27306859,93
19,561633351,13
19,21555096,428
19,460492777,31
19,8954829,102
19,27413725,247
19,25984103,72
19,916333750,101
19,21332445,104
19,22961938,324
19,1705574276,252
19,26931187,323
19,2092569747,110
19,596544016,296
19,2025519575,178
19,27338284,20
19,442337123,349
19,8176347,547
19,10199904,287
19,25463398,140
19,1783377814,103
19,24057506,224
19,18361876,383
19,14542127,326
19,26792243,245
19,8624124,151
19,7852526,395
19,1865972978,194
19,497931179,141
19,50159054,162
19,731469845,320
19,1834810171,98
19,14503615,29
19,22645565,295
19,1663022585,51
19,13092178,101
19,22278601,182
19,24049171,72
