festival_name,address_name,place_name,x,y,road_address_name,place_url
서울동물원 봄바람대축제,,,,,,
지구촌나눔한마당,,,,,,
서울동물원 장미원산책,,,,,,
서울대공원 별밤축제,,,,,,
서울드럼페스티벌,서울 중구 태평로1가 54-3,서울드럼페스티벌,126.977964394097,37.5656906233558,서울 중구 세종대로 110,http://place.map.kakao.com/7935778
서울문화의 밤,,,,,,
하이서울페스티벌,,,,,,
서울대공원가을축제,,,,,,
국악한마당,경기 부천시 송내동 299-24,소리야국악한마당,126.755794838289,37.4870350969374,경기 부천시 송내대로42번길 44,http://place.map.kakao.com/383317105
국악한마당,전북 전주시 완산구 태평동 22-11,황금예술국악한마당,127.138860909629,35.8257533656827,전북 전주시 완산구 공북로 64,http://place.map.kakao.com/1840692408
서울북페스티벌,,,,,,
한강서래섬 유채꽃 축제,서울 서초구 반포동 1335-1,한강서래섬 유채꽃축제,126.989929419904,37.5080426353166,,http://place.map.kakao.com/339807216
서울 둘레길 걷기 축제,,,,,,
서울건축비엔날레,,,,,,
세울앱페스티벌,,,,,,
한강 종이비행기 가족축제,,,,,,
서울억새축제,서울 마포구 상암동 481-72,서울억새축제,126.886883814634,37.5685469039012,,http://place.map.kakao.com/11505479
서울사진축제,서울 노원구 중계동 508,서울사진축제,127.066776128739,37.6408524151384,서울 노원구 동일로 1238,http://place.map.kakao.com/27291786
서울김장문화제,,,,,,
설맞이 문화행사,,,,,,
어린이날 문화행사,,,,,,
제1회 바이오볼리츠 서울,,,,,,
"광복절 보신각 타종행사
(광복70주년 기념행사)",,,,,,
한가위 한마당 문화행사,,,,,,
한성도성문화제,,,,,,
제야의 타종행사,,,,,,
연등축제,부산 부산진구 초읍동 54-58,삼광사 연등축제,129.043344181795,35.1757568104397,부산 부산진구 초읍천로43번길 77,http://place.map.kakao.com/1554667304
연등축제,서울 종로구 견지동 45,연등축제,126.981851559609,37.5739480070481,서울 종로구 우정국로 55,http://place.map.kakao.com/8001253
연등축제,부산 부산진구 범전동 134,부산연등축제,129.057585354282,35.1678954214247,,http://place.map.kakao.com/24126155
연등축제,경기 양평군 개군면 불곡리 282,해인연등축제,127.533663337619,37.4522982840741,경기 양평군 개군면 대가울길 31-10,http://place.map.kakao.com/1953365233
연등축제,울산 남구 신정동,태화강연등축제,129.306445102987,35.5504061853148,,http://place.map.kakao.com/1620426358
연등축제,경기 수원시 팔달구 신풍동 363-31,수원연등축제,127.015624351029,37.2818205925786,,http://place.map.kakao.com/1815683031
서울국제만화애니메이션 페스티벌,,,,,,
서울세계불꽃축제,서울 영등포구 여의도동 85,서울세계불꽃축제,126.935118045563,37.5263408417948,,http://place.map.kakao.com/10502518
서울아리랑페스티벌,서울 용산구 남영동 131-1,(사단)서울아리랑페스티벌조직위원회,126.973703686576,37.5407176916654,서울 용산구 한강대로72길 3,http://place.map.kakao.com/23763683
서울빛초롱축제,서울 중구 태평로1가 1,서울빛초롱축제,126.977782252568,37.5691900568791,,http://place.map.kakao.com/187995053
광화문국제아트페스티벌,서울 종로구 내수동 74,광화문국제아트페스티벌,126.973126062472,37.5737733521993,서울 종로구 세종대로 175,http://place.map.kakao.com/26221211
광화문국제아트페스티벌,서울 종로구 내수동 74,광화문국제아트페스티벌조직위원회,126.973166810979,37.5737841734061,서울 종로구 사직로8길 42,http://place.map.kakao.com/23831933
행복바라미 문화대축전,,,,,,
세계열린미술대축제,,,,,,
서울국제하모니카페스티벌,,,,,,
"2015 古GO종로문화
페스티벌(개막행사)",,,,,,
인사전통문화축제,,,,,,
육의전 체험축제,서울 종로구 서린동 1-11,육의전체험축제,126.981015111113,37.56905727368,,http://place.map.kakao.com/25681613
궁중과 사대부가의 전통음식 축제,,,,,,
