festival_name,address_name,place_name,x,y,road_address_name,place_url
금천하모니 벚꽃축제,서울 금천구 시흥동 1020,금천하모니벚꽃축제,126.8953934,37.4569348,서울 금천구 시흥대로73길 70,http://place.map.kakao.com/1787016810
백제고분제,,,127.1015721,37.5031616,,
석촌호수 봄꽃축제,,,127.1011757,37.5092567,,
성내천 가을음악회,,,127.1384308,37.5004147,,
석촌호수 가을음악회,,,127.1011757,37.5092567,,
책 읽는 송파 북페스티벌,,,127.1172182,37.5213721,,
한성백제문화제,서울 송파구 방이동 88,한성백제문화제,127.1165835,37.51851646,서울 송파구 올림픽로 424,http://place.map.kakao.com/11220561
석촌호수 낙엽거리축제,,,127.1011757,37.5092567,,
오금동한마음축제,,,127.1379261,37.5015376,,
관악강감찬축제,서울 관악구 봉천동 228,강감찬축제,126.9603388,37.47132935,서울 관악구 낙성대로 77,http://place.map.kakao.com/341724214
4.19혁명국민문화제,서울 강북구 수유동 580-1,4.19혁명 국민문화제,127.007583,37.64861232,서울 강북구 4.19로8길 17,http://place.map.kakao.com/1602165127
노원탈축제,서울 노원구 중계동 508,노원탈축제,127.0671517,37.6402143,서울 노원구 동일로 1238,http://place.map.kakao.com/1303364521
태강릉·초안산궁중문화제,,,127.0897292,37.6310847,,
서리풀페스티벌,,,126.9985231,37.4951324,,
